person1,person2,friendsSince
2455,987,39184
171,2247,36833
1938,2393,39483
1046,1851,38700
804,737,37044
139,1319,40735
1490,2077,40629
1446,2960,37591
1560,2858,40523
694,1621,35681
433,435,37972
1530,737,37683
743,2125,35408
2681,2908,38631
2492,1990,35948
337,1395,38369
1304,2049,37397
2422,1498,39961
1206,2752,35758
416,2614,37985
777,532,37344
1628,2325,40542
1039,1459,40237
630,2775,37207
1624,16,35624
381,1441,37194
2240,1375,35703
2502,2530,38406
2429,2826,38475
852,2721,40772
2808,439,39843
1769,697,41675
2399,154,38197
8,384,39615
589,209,37049
843,2627,42606
245,1305,41380
2900,1010,42028
2099,1817,35368
1472,2431,39253
74,252,40271
2529,157,39149
2838,1852,40101
1711,2869,40929
2596,2133,40074
990,2128,36350
994,966,37136
1435,825,36580
953,24,41395
1920,677,42509
1656,76,39458
2887,2039,35801
2171,658,40600
1847,2960,41392
1591,1320,42191
134,1726,42843
36,2767,40192
1072,1179,42297
451,328,37815
2599,1783,35577
1069,1589,37246
2314,1518,35149
1459,1090,41830
61,1709,40942
731,1561,40957
897,2349,35084
29,279,41448
268,1085,36547
85,2908,38049
2268,2739,39825
136,2988,38081
536,2837,37742
43,2040,37199
1041,243,36731
1569,2064,37936
457,414,42085
998,515,38528
1924,67,36437
993,492,37865
1557,2196,35283
1464,103,35292
138,321,36894
1310,1589,37777
1116,1821,38794
261,1952,42028
1541,2480,37858
1549,68,40062
365,875,36840
1261,2903,39734
2669,2775,40345
1311,2623,37126
1330,1345,42708
413,2199,38903
873,2352,37353
1007,1052,37862
2175,1182,42391
2899,78,43027
2753,885,40717
2665,2848,40165
808,348,37436
2462,2734,37818
640,1140,35150
2004,392,41457
1793,1205,37083
1837,2780,37166
1785,1727,42540
848,1882,38612
82,975,39972
2940,541,41434
2499,2586,39356
1573,1148,41880
1839,1026,41735
135,416,42833
2273,2618,38735
2038,2687,36437
1892,558,39817
2626,86,35463
953,1356,37705
161,2556,38106
718,1530,35907
2029,701,39857
526,1043,41488
2691,689,42913
776,1671,42454
2890,2521,38167
1185,753,36837
2050,2420,36061
1009,853,40802
1529,1698,41496
802,771,39726
1886,2449,37895
107,1950,35182
2199,1977,36967
2428,2208,36815
2297,475,35392
1947,2478,35271
554,1882,39912
1718,1588,41674
1361,1097,40443
1316,347,40837
2132,439,35253
323,2224,35268
2122,597,35210
2462,58,40773
2608,846,36745
2485,2378,37308
2605,1586,36130
2469,2962,38550
507,890,40859
136,311,39385
521,2384,36554
1066,1433,41290
1697,1739,41065
2337,1539,35830
2580,69,35863
2224,2310,41253
2593,2899,36232
1376,1262,41651
979,1348,35447
2452,1686,39155
2859,1857,41783
1489,188,42935
1004,1985,36843
2287,2714,36513
1116,1083,35139
1987,118,37350
2935,2334,40246
817,1366,42830
2750,1312,38082
2716,2449,37163
637,336,36307
358,943,36156
630,478,36730
2441,1890,39171
472,580,38347
1652,1641,41592
605,1136,35470
291,395,37820
2717,2547,38883
1372,85,42197
44,1739,42807
1241,11,41875
91,965,41537
2461,1563,38508
443,1172,36544
2341,2228,38299
2627,1629,35641
2232,1074,38741
432,2448,39079
2151,2893,40478
1957,2822,35290
771,1256,35762
1815,2586,42503
739,1096,38375
1516,2583,40905
483,731,35966
2876,1480,35737
2735,1075,42608
1860,871,42430
484,2034,37014
438,590,37864
932,944,36409
2693,2144,41091
1797,1302,36050
1513,2536,40466
1500,2126,42038
119,2560,38099
1261,2579,37320
1534,731,42221
1596,436,39185
1818,620,41448
2082,2510,38871
483,1672,41239
1462,1807,41566
39,1784,38024
1108,537,38485
2698,2665,39894
660,833,42323
1314,2854,39668
1611,844,42254
2530,2738,41786
2632,2510,37219
1053,1381,40482
1786,2113,39028
2968,2774,40683
2687,2992,39639
2406,2188,38110
2385,1474,36241
1160,2049,38941
784,2964,41722
2600,1843,39618
959,849,36589
1247,646,37172
96,57,39359
1871,1421,37725
2160,2011,39096
617,2576,39340
2935,2722,36691
1088,787,41628
1994,2281,40799
1379,2692,42849
2363,1329,42543
2938,162,40750
2848,2977,36206
323,384,41147
1693,531,35786
710,1285,36528
2449,145,35583
1124,90,37816
1419,2757,38451
1748,2442,38233
86,1490,37643
738,1768,42818
1510,1601,42212
2166,270,39114
1843,1022,42457
2642,1335,43008
2810,1125,38813
410,1187,39247
155,1659,39699
2966,1511,41084
1785,2220,41727
2458,968,42757
642,2134,42049
1704,2538,40471
1818,665,36233
2873,1839,41376
998,975,35997
70,1404,40568
651,1640,35519
404,2270,39475
388,1164,38103
818,2515,40565
2853,737,36108
68,963,38550
2916,2352,35829
1874,534,39482
1231,2196,42100
916,2872,43084
1488,1806,38327
1397,1838,35305
1347,1966,35659
2714,2313,36907
1521,2338,39803
1056,2319,39452
2419,1878,39314
274,2733,37581
2002,1683,37790
658,1488,42363
2095,1581,40780
2483,2721,41210
2205,1568,38162
1404,1530,38752
472,2058,35987
2713,2537,42293
637,299,40053
1749,1568,39705
2910,2268,35482
173,54,36675
508,1076,39935
642,1024,40592
962,2073,42117
1775,689,42236
1456,445,38074
1587,2286,36404
1235,654,39080
535,2534,41734
93,1783,38643
2888,189,38125
2812,2223,42650
670,679,37361
2097,1713,39039
1560,1020,42098
334,1428,36510
2466,571,36691
2981,1520,36636
875,2043,35526
1269,791,36658
1099,549,41895
1904,1834,36392
848,1571,40828
2700,696,41011
538,1897,42580
261,1471,35522
2676,2926,36261
58,2686,42851
2898,1137,41383
775,1143,37684
1962,2628,36178
1236,2510,37539
2433,1728,36493
935,2678,36077
808,1990,35247
2800,288,40706
2496,581,40141
1414,2112,38742
2056,2664,37516
238,1815,42113
1994,183,40301
2220,961,35992
2060,1416,41357
1476,1015,40606
786,2237,41845
1446,2180,40998
2041,2242,36895
748,234,40584
2784,2784,40020
1718,2161,39465
1353,2288,37985
1933,675,39402
1470,1433,38588
2476,1193,36526
2445,839,36711
2246,1760,36555
1767,134,36928
524,1607,41363
830,2953,39191
834,1545,43000
545,810,35458
783,1419,39202
305,2914,41315
1639,2601,40653
2273,741,37506
31,2025,36338
334,624,40284
1554,903,40268
1905,901,38640
1805,739,38229
2218,2624,38863
2397,412,37577
1620,2945,41194
1640,1593,40495
375,321,41287
1386,2383,36508
511,1638,42449
775,29,38890
1095,691,41627
2782,2882,37014
2785,2930,41389
1474,1511,36954
734,2244,36563
1612,57,41172
672,246,38054
2787,1216,37064
1175,2004,37137
1063,102,38419
637,1316,40050
2732,756,39091
1878,1985,39398
530,1996,37519
232,2379,39629
1455,2592,42466
1632,1491,35066
42,295,39857
2706,2706,37944
2292,1771,37273
2101,2161,37695
123,639,43005
1374,2297,39303
2675,1608,39008
680,2829,36617
1242,1270,41959
772,2149,40515
1731,43,35997
1472,722,40184
990,1974,43070
1150,2674,41851
2140,1138,39895
1572,1569,43057
2129,107,41603
216,1903,35601
1212,74,40583
289,2904,36947
2967,1402,40261
11,659,39322
1882,1018,40493
2546,2582,42273
168,2045,37168
152,492,39174
1801,1451,38377
2412,2446,42469
1660,93,39339
2587,2036,38581
1520,2731,38009
1846,974,42322
1734,2580,42554
2403,636,38059
70,633,39423
349,2078,36101
1622,1630,40286
727,2402,39208
2229,2940,35103
2148,2876,38156
508,1265,42872
217,2750,36764
1704,1914,39241
2576,2805,41121
1815,2483,35386
990,1295,36418
2108,1309,40904
228,2079,42646
1074,1685,41311
1960,1495,36929
2821,2792,39922
2473,2513,41671
1859,2760,39892
55,1423,35224
2341,444,38158
2456,2872,36925
1598,1882,42502
712,2347,42140
433,1525,39136
770,2433,35872
2302,2962,36496
2633,214,36697
1499,1204,36000
824,70,36600
2220,682,42581
2544,2543,40556
537,410,39007
692,2833,39174
99,2763,42475
2554,1510,39610
499,81,42977
2552,2425,36418
2873,1272,41958
2603,13,38017
1861,2853,35513
608,754,37645
951,701,37777
2022,955,35229
1844,98,37398
2447,1986,41264
1131,558,36302
775,557,40651
2899,2412,37208
785,2737,38994
1087,1186,43085
1860,750,42649
2050,2592,35274
2129,481,42113
2625,1728,41826
1653,1458,38941
809,2079,35875
1247,2201,37220
2143,1059,35399
2528,240,37575
511,2094,41472
2644,2469,37690
395,1985,42870
1768,2887,39295
2174,2108,38933
2000,914,35331
1652,1478,41804
481,2149,37808
1290,1881,36954
632,2087,37169
1387,1261,39875
307,624,40823
1923,2766,35257
2843,1547,39064
376,2469,36761
65,1282,39831
2694,2689,41044
298,564,42251
2396,2529,37966
1183,2048,41019
573,2353,35473
892,2506,41920
359,897,35877
990,1064,36792
509,796,42947
1403,312,40380
1951,504,37614
1509,427,38549
1602,2495,37333
1270,2041,40919
2212,1268,35171
1103,573,35670
983,917,35789
2270,2127,41674
1298,2286,41733
2514,2867,37382
2901,982,36896
62,2343,35189
2496,910,41498
1677,1786,37283
460,14,39134
1209,1893,40094
1070,2948,39593
1112,1178,36453
1033,2460,37017
1692,1490,40121
1032,1402,39269
2837,1219,39356
167,1693,42709
942,2364,39213
123,2686,41710
2666,2118,37624
843,1618,35743
1676,2797,35868
1348,2566,39469
1250,1935,42185
1681,1742,40120
1170,1483,42409
2119,80,36796
742,1980,37926
302,1776,41625
552,405,41715
835,2894,42473
940,2580,35107
1061,301,41301
1159,1195,42960
2811,2161,35635
2234,2596,38097
1387,2580,37156
516,2483,37936
2776,1290,38769
87,1746,38132
1956,1077,41079
2513,1078,41992
738,125,37296
2860,445,38575
434,1581,38562
303,2881,37903
1215,1782,36209
2015,1208,35746
227,2597,35974
204,2765,35365
1619,487,40750
2641,1740,42278
1300,1367,41099
13,1355,40017
1390,1271,38537
1852,1621,39265
2157,2880,37816
1131,463,41591
2128,691,37581
1929,2193,41851
2988,2567,36454
1252,799,36992
1094,735,39141
266,2073,42647
402,746,36044
1187,2636,35355
1635,2472,38712
1223,1664,41876
2542,2509,42918
658,2673,43025
1979,1051,38098
367,66,36469
2433,912,40827
2683,2653,41392
1919,824,35484
126,2875,38463
1385,2337,42204
2894,677,35575
1522,1611,42028
1834,1339,37170
1413,558,35735
2780,1161,36009
2715,1283,39279
890,1930,40081
1028,2731,41512
2395,2560,42508
368,1250,41543
1148,1624,42747
812,1960,41416
608,2228,40305
777,710,36756
1224,2774,40777
2924,1721,41735
380,791,38631
1608,960,39854
344,372,42372
89,2660,35213
1924,1922,39716
1816,641,41944
2107,2308,35834
1762,885,37961
355,718,37344
143,346,37806
448,2938,36527
993,2097,38086
772,1611,40264
850,1768,36653
1062,2516,38198
250,1645,37003
1804,2605,38193
2823,997,38313
2235,1026,38976
106,2904,36970
696,2884,36670
2492,1351,41212
838,1200,38057
1447,2646,36558
2222,1345,37722
975,338,40672
1717,2830,41285
1747,2375,40880
1163,1394,38342
2869,2358,42883
185,839,38706
1230,707,35583
284,1039,41806
2248,256,39598
1238,1585,39068
2012,1016,36375
1393,752,38093
680,2265,35565
2088,1069,38370
436,2175,38633
1559,2730,39943
1573,168,37120
519,160,41263
2591,2807,37552
2376,456,38274
1173,2561,35656
1508,365,41018
1921,406,38798
1356,133,36736
585,1696,37918
1572,586,37121
458,2444,38924
1043,1469,40027
2399,2099,41428
797,991,38056
2335,816,37313
1209,1405,36100
2942,61,37384
2228,523,39877
2968,794,40451
2973,262,37806
1483,2087,39280
26,996,37542
2470,2283,39490
1566,395,40994
698,5,35374
2737,1559,42485
2059,2052,41409
2636,1865,39691
1946,2994,36255
509,1092,38923
2625,1048,39243
2929,1853,40749
2159,1076,40888
1150,606,38582
2241,221,42369
2665,873,41326
2803,1644,37770
161,611,41817
1339,10,42108
2535,677,39833
2170,1310,42008
2739,2072,40922
1409,1933,36340
1598,917,35573
911,2895,40105
2848,980,37467
243,2265,42117
2867,57,41885
250,2660,39550
131,444,39151
1194,2447,41100
417,2112,38863
2930,1878,42437
2423,1926,40719
1716,295,41357
2271,1426,37210
1960,259,39449
408,260,40824
1943,28,35673
600,2028,40777
1461,615,41668
856,1335,41490
2335,2465,37570
648,2095,39787
228,374,35859
530,347,40641
2513,2829,42210
2016,912,38746
1470,1128,42256
230,1736,37376
2061,2695,37028
1455,1422,41682
1125,941,35961
2763,42,41514
1789,2091,40562
1313,1702,40076
602,1712,38574
2003,364,40557
1308,129,39979
1316,2579,38865
573,651,42544
2325,1178,41203
1205,352,37496
1042,2932,35839
376,608,42148
2561,2819,36169
897,2469,42547
333,1587,42385
565,459,41600
261,2307,39560
1887,558,36070
1659,314,37301
131,429,42750
927,339,36690
1964,591,40267
448,172,40335
1649,628,40220
85,2460,37859
1404,2083,42802
1138,2409,37395
2480,540,39488
315,261,36194
1542,811,42358
1766,1976,42985
1554,1982,37968
1800,1815,42563
181,2992,38622
1549,1682,40145
244,2633,41147
2882,2685,36597
1808,1042,41092
820,1890,41739
1858,2180,42436
2140,1536,40495
1397,2310,42856
2749,2824,36824
1969,1778,41772
2925,2943,39443
2407,1887,41715
2059,6,37463
1310,319,37907
879,1132,38617
2228,709,37355
1215,2219,37074
1005,2271,36533
1509,668,42379
988,1799,37887
2042,982,39732
1772,362,35556
2170,100,38512
1366,1918,36034
2642,2939,35121
144,2265,41972
2606,2406,41291
1573,1133,39227
183,2971,36584
1526,2944,40959
1945,156,41380
994,2708,39420
2211,2095,40219
1065,1700,38227
2212,2185,37915
1956,568,39743
131,1486,42643
897,2372,41511
1707,2197,36325
1711,184,36691
1402,1021,39218
1269,407,39989
678,2196,40745
2554,1742,41667
2490,1253,40068
1332,1568,42534
2587,2486,36039
1273,2104,40378
1963,2260,35318
696,1237,39268
1609,2499,41026
2662,1083,38781
1366,2461,42100
147,477,35880
89,742,39319
1887,2107,41945
1441,509,36525
2188,2113,40624
1101,231,35160
2267,1202,35778
487,2438,35832
1303,2865,42256
1715,879,38524
1784,2409,36690
445,886,36017
2863,1078,35953
311,2227,40866
730,2691,40872
1087,1640,40430
2710,2431,40626
1594,1954,38789
235,1368,36257
2805,1809,42468
765,1524,38067
1242,957,38464
1549,2369,42072
522,1857,35412
2441,568,37707
1603,908,41686
136,2500,38953
2281,2771,40427
2081,761,41350
780,1586,37096
1364,2739,37998
817,2361,42429
567,520,39531
184,2894,38520
704,2869,40197
1384,1271,36299
2462,82,41627
1143,1179,37317
1194,1594,42668
254,1692,36661
18,1452,41725
1268,2741,42592
973,969,39317
2277,2674,42685
681,47,39423
2843,2450,39884
1338,2258,41968
2217,2948,39545
1446,1969,42531
305,1098,42960
2468,806,37042
2364,781,36899
189,2087,36205
2235,1817,40453
239,2681,36038
1236,408,39524
987,2690,37170
790,2263,36666
1705,800,41570
2144,2977,40200
532,1036,40675
128,1902,42918
1311,1779,37007
2062,673,42591
1952,2250,35446
2265,1351,41997
431,2511,36204
626,775,39101
2024,978,41640
1307,1231,36895
2351,408,42849
1571,1953,40980
1700,2702,41589
2021,1928,42153
309,2225,39593
1837,319,36325
2558,865,36317
295,1936,36293
2221,2738,37243
1737,2293,36725
753,2433,37141
1755,1848,35556
2928,1476,39608
2397,2596,39196
2448,105,37276
2069,2077,42246
2995,77,39673
833,257,36375
2017,359,37777
1273,2050,38073
303,2787,40685
1601,1587,39600
1929,1780,39602
733,1275,35191
2525,233,41716
352,1950,42499
2082,226,36439
1775,2194,35985
412,2010,37257
2591,1630,36992
1841,2914,41643
2401,1230,42991
318,529,35087
497,1986,35530
1922,2786,42070
2526,2033,42962
504,115,35985
2327,906,37358
965,1182,38044
153,1417,36090
1094,1134,38177
83,959,35332
141,1687,39601
861,1762,41242
552,629,37713
1749,2420,39748
1470,672,42906
2172,732,40087
2038,2161,37351
2453,1875,40805
577,1702,38058
2472,1702,36770
535,648,41847
865,1102,39330
2125,1578,41223
703,2360,35989
1127,2994,40459
855,725,37004
1332,1259,36601
358,2873,38196
335,2792,42877
2935,476,36579
1186,1086,40401
851,1208,40791
2261,2973,42201
2733,2436,39989
2685,198,36870
200,444,36800
1214,1004,37094
2801,1192,39959
2114,1143,42903
2334,1100,35708
1442,2134,42773
2853,1912,42309
592,704,38198
1637,727,36281
768,1636,39147
282,2677,42276
2100,2625,42641
2429,944,41206
2804,2104,38953
1807,1310,38356
1822,1730,38855
1117,1036,38560
426,2534,39647
786,2050,42472
567,473,40914
2412,724,36917
1079,1936,41696
2217,952,39313
2300,2188,38140
1680,1167,35962
1627,1101,39917
2418,2538,39471
537,1288,36615
1397,1565,43033
2595,397,37010
891,1646,36573
1326,149,37440
1330,1256,35460
2514,623,42831
2961,760,36849
146,373,36513
946,1137,40063
1836,2987,37019
1848,2862,36838
32,1434,36656
2228,442,35241
2827,1784,38352
2802,737,37805
857,388,42504
523,2004,40265
1355,683,42623
1179,2171,40457
313,47,36075
930,2572,40312
2640,2620,39443
973,584,35426
1233,2842,38278
2779,1213,40184
143,2800,41621
104,490,40291
393,1149,35260
1646,2142,35383
2736,2055,38002
1403,20,37058
2755,2946,40671
2153,1687,36826
2873,2890,38624
1149,1380,39013
2256,19,38610
456,41,38857
2408,2470,41978
473,1266,35400
2927,1019,40220
412,1300,41197
1884,441,39997
2867,2776,36563
1441,2876,40866
2976,2021,41920
2573,347,35134
2113,2407,42132
2,2130,38891
1163,855,36123
1715,1091,36276
2425,76,39863
274,2390,41719
139,1685,37693
2413,548,35071
1922,38,38134
2801,124,39718
1713,2609,39340
1082,325,39029
15,1428,36711
2940,1162,39001
2593,2201,42583
1439,1819,38037
967,2495,35972
1762,951,40983
383,1551,41122
2715,2255,40251
347,1289,41513
540,829,38968
919,132,36636
2424,96,37437
1169,1661,39821
229,1035,37780
1393,1871,42545
2458,2137,40717
2362,1636,38908
2802,2924,41938
1659,188,40130
921,190,36676
1749,707,42351
2963,1886,35552
2901,44,42538
1408,1504,41395
851,25,42132
1784,1025,37963
2059,1941,39644
1813,398,39889
2792,1623,42297
914,1032,38563
1212,579,36313
874,1254,40450
184,1800,42770
1658,388,38924
61,1489,40697
1509,1907,41551
2848,1533,36563
2598,1237,42323
975,2103,36881
915,2881,42228
1184,1833,41300
2758,1804,35195
2810,1709,39737
614,2314,40172
1302,1449,39987
2388,2152,37576
1202,276,37518
2578,667,42277
535,415,42314
694,283,35681
2871,848,35820
2616,104,39297
258,1561,42859
434,1974,42070
114,2096,42689
221,2604,37164
688,2182,39441
219,1836,37523
52,2532,35507
2588,2686,36507
302,174,41021
563,1138,37721
2498,1182,41307
2598,803,39592
2110,2727,40423
1044,873,36359
2455,1831,40831
208,1722,39129
255,817,38576
2138,2494,37386
203,2531,42080
2415,2924,38837
736,1010,38098
2242,701,38166
2962,2170,41778
49,1181,35534
1793,1171,35443
1103,1359,41178
1653,1891,35415
1696,996,35911
141,2076,41330
2865,2413,38876
2277,2511,35318
878,2581,37267
1261,914,41695
530,2199,39184
1826,73,36833
2242,115,39483
327,2524,38700
1659,652,37044
171,2235,40735
139,123,40629
2500,2453,37591
1282,2409,40523
935,2804,35681
2782,1193,37972
385,2229,37683
777,2510,35408
1307,600,38631
2337,2153,35948
442,569,38369
1879,84,37397
2337,806,39961
471,1553,35758
2144,19,37985
1411,2236,37344
988,68,40542
90,2403,40237
2666,186,37207
1423,1607,35624
2392,999,37194
1248,2913,35703
2958,172,38406
426,2931,38475
1659,359,40772
2987,2063,39843
1690,923,41675
2022,920,38197
724,862,39615
357,2007,37049
1621,579,42606
1807,1243,41380
2890,2757,42028
988,988,35368
931,1645,39253
397,1569,40271
158,595,39149
2823,1417,40101
2872,1874,40929
1531,2132,40074
2723,1415,36350
2145,1056,37136
471,1001,36580
1913,2557,41395
2618,2172,42509
2135,1563,39458
2800,2101,35801
2568,1531,40600
11,2047,41392
647,1812,42191
1638,1107,42843
1146,2969,40192
1708,1491,42297
2678,1937,37815
1335,1108,35577
2488,1804,37246
1683,2100,35149
1231,2361,41830
902,2204,40942
552,1509,40957
2303,7,35084
2380,2953,41448
445,1691,36547
1308,423,38049
829,621,39825
2820,2397,38081
2186,300,37742
2773,1467,37199
2111,1209,36731
1983,2076,37936
218,2820,42085
1713,129,38528
1436,2312,36437
2341,2445,37865
1070,213,35283
2681,2077,35292
1606,1671,36894
2480,2635,37777
2659,756,38794
2795,2640,42028
2025,2235,37858
1961,545,40062
90,2567,36840
971,2780,39734
2465,2325,40345
2383,280,37126
648,1904,42708
1946,38,38903
1669,2624,37353
860,1921,37862
2759,2811,42391
2855,2127,43027
2404,953,40717
1589,1475,40165
940,2041,37436
2837,2857,37818
1852,737,35150
1159,256,41457
1109,413,37083
938,949,37166
1650,1205,42540
1331,199,38612
249,2966,39972
1111,1774,41434
2087,1302,39356
359,663,41880
1864,2838,41735
166,2643,42833
529,1320,38735
58,2170,36437
207,629,39817
512,314,35463
2206,1761,37705
838,2653,38106
285,2634,35907
2065,2929,39857
2408,689,41488
1788,1860,42913
2645,2619,42454
2868,2026,38167
1493,2202,36837
2257,2375,36061
473,1426,40802
250,2142,41496
663,2869,39726
2014,2697,37895
863,2415,35182
233,144,36967
849,1182,36815
71,597,35392
2796,994,35271
2192,2949,39912
738,668,41674
2732,2122,40443
443,681,40837
1123,188,35253
1353,2419,35268
633,2628,35210
17,2100,40773
2846,1656,36745
235,1233,37308
2769,1867,36130
684,1338,38550
284,1071,40859
2549,2672,39385
2202,87,36554
1741,2186,41290
2553,2765,41065
683,1771,35830
22,1921,35863
2284,438,41253
1334,2244,36232
605,126,41651
2134,1739,35447
1363,179,39155
439,2066,41783
93,1105,42935
1403,2723,36843
1405,245,36513
2528,789,35139
2131,1609,37350
2300,2398,40246
1664,992,42830
1483,2007,38082
1037,1189,37163
1111,1485,36307
528,2989,36156
2024,1436,36730
1767,243,39171
830,2339,38347
2246,550,41592
383,2953,35470
2813,1554,37820
66,151,38883
2700,427,42197
1664,248,42807
138,200,41875
2125,715,41537
409,2752,38508
450,290,36544
2698,2697,38299
2268,1974,35641
48,2273,38741
2362,1475,39079
1780,1078,40478
2695,1071,35290
2257,2000,35762
1304,1060,42503
853,2028,38375
921,2257,40905
925,1192,35966
688,638,35737
2989,956,42608
1164,520,42430
2249,319,37014
979,2110,37864
2397,692,36409
1244,2558,41091
414,2461,36050
2909,484,40466
1557,833,42038
2918,705,38099
849,2658,37320
2952,54,42221
2503,2322,39185
1373,1215,41448
80,538,38871
1892,1372,41239
226,2319,41566
1448,1282,38024
2070,2558,38485
2270,283,39894
1286,2225,42323
2654,470,39668
153,1839,42254
1174,2256,41786
1645,881,37219
1341,640,40482
1966,2381,39028
2083,1710,40683
693,1636,39639
2393,674,38110
2992,1643,36241
1327,2055,38941
535,1217,41722
1971,2406,39618
937,1705,36589
2757,2964,37172
1891,2024,39359
1107,2694,37725
2410,1317,39096
2064,975,39340
2973,846,36691
2895,2256,41628
2101,2284,40799
403,733,42849
2344,991,42543
1687,2318,40750
387,615,36206
