campaign_id,campaign_name,start_date,end_date,campaign_type,ad_id,ad_name,ad_channel
7,Home Improvement  - Campaign,2019-02-12,2019-02-16,Acquisition,33,Ad -  Bathroom Renovation ,TikTok
7,Home Improvement  - Campaign,2019-02-12,2019-02-16,Acquisition,34,Ad -  Home Safety ,AdobeAds
7,Home Improvement  - Campaign,2019-02-12,2019-02-16,Acquisition,35,Ad -  Heating Cooling & Air Quality ,Facebook
7,Home Improvement  - Campaign,2019-02-12,2019-02-16,Acquisition,36,Ad -  Electrical ,TikTok
7,Home Improvement  - Campaign,2019-02-12,2019-02-16,Acquisition,37,Ad -  Paint ,Website
8,Washington's Birthday - Campaign,2019-02-15,2019-02-19,UpSell,38,Ad -  Light Bulbs ,MobileApp
8,Washington's Birthday - Campaign,2019-02-15,2019-02-19,UpSell,39,Ad -  Batteries ,Twitter
8,Washington's Birthday - Campaign,2019-02-15,2019-02-19,UpSell,40,Ad -  Drain & Septic Care,MicroSite
9,Washington's Birthday - Campaign,2019-02-16,2019-02-20,Other,41,Ad -  Baby Activities & Gear ,Website
9,Washington's Birthday - Campaign,2019-02-16,2019-02-20,Other,42,Ad -  Car Seats ,TikTok
9,Washington's Birthday - Campaign,2019-02-16,2019-02-20,Other,43,Ad -  Baby & Toddler Toys ,Website
9,Washington's Birthday - Campaign,2019-02-16,2019-02-20,Other,44,Ad -  Baby & Toddler Toys ,Website
9,Washington's Birthday - Campaign,2019-02-16,2019-02-20,Other,45,Ad -  Baby Shower Gifts ,SearchEngine
9,Washington's Birthday - Campaign,2019-02-16,2019-02-20,Other,46,Ad -  Diapering ,Website
9,Washington's Birthday - Campaign,2019-02-16,2019-02-20,Other,47,Ad -  Car Seats ,GameApp
9,Washington's Birthday - Campaign,2019-02-16,2019-02-20,Other,48,Ad -  Car Seats ,GoogleAds
10,Washington's Birthday - Campaign,2019-02-17,2019-02-21,Other,49,Ad -  Hardware ,Facebook
10,Washington's Birthday - Campaign,2019-02-17,2019-02-21,Other,50,Ad -  Heating Cooling & Air Quality ,Twitter
10,Washington's Birthday - Campaign,2019-02-17,2019-02-21,Other,51,Ad -  Electrical ,Website
10,Washington's Birthday - Campaign,2019-02-17,2019-02-21,Other,52,Ad -  Paint ,Website
10,Washington's Birthday - Campaign,2019-02-17,2019-02-21,Other,53,Ad -  Electrical ,MobileApp
10,Washington's Birthday - Campaign,2019-02-17,2019-02-21,Other,54,Ad -  Safety Equipment and Gear,MobileApp
10,Washington's Birthday - Campaign,2019-02-17,2019-02-21,Other,55,Ad -  Tools ,Twitter
10,Washington's Birthday - Campaign,2019-02-17,2019-02-21,Other,56,Ad -  Home Safety ,MobileApp
11,Washington's Birthday - Campaign,2019-02-18,2019-02-22,Retention,57,Ad -  New Arrivals ,AdobeAds
11,Washington's Birthday - Campaign,2019-02-18,2019-02-22,Retention,58,Ad -  Fragrances ,SearchEngine
12,Health  - Campaign,2019-03-07,2019-03-11,Special,59,Ad -  Cold Cough and Flu ,GameApp
12,Health  - Campaign,2019-03-07,2019-03-11,Special,60,Ad -  Protein & Fitness ,GoogleAds
12,Health  - Campaign,2019-03-07,2019-03-11,Special,61,Ad -  Childrens Health Shop ,GameApp
12,Health  - Campaign,2019-03-07,2019-03-11,Special,62,Ad -  Gas Relief ,TikTok
12,Health  - Campaign,2019-03-07,2019-03-11,Special,63,Ad -  Acid Reflux ,Instagram
13,Sports & Outdoors  - Campaign,2019-03-08,2019-03-12,UpSell,64,Ad -  Sports ,GoogleAds
13,Sports & Outdoors  - Campaign,2019-03-08,2019-03-12,UpSell,65,Ad -  Bikes ,AdobeAds
13,Sports & Outdoors  - Campaign,2019-03-08,2019-03-12,UpSell,66,Ad -  Bikes ,MicroSite
13,Sports & Outdoors  - Campaign,2019-03-08,2019-03-12,UpSell,67,Ad -  Exercise & Fitness ,TikTok
13,Sports & Outdoors  - Campaign,2019-03-08,2019-03-12,UpSell,68,Ad -  Sports Fan Shop ,Facebook
13,Sports & Outdoors  - Campaign,2019-03-08,2019-03-12,UpSell,69,Ad -  Exercise & Fitness ,MobileApp
13,Sports & Outdoors  - Campaign,2019-03-08,2019-03-12,UpSell,70,Ad -  Bikes ,Facebook
13,Sports & Outdoors  - Campaign,2019-03-08,2019-03-12,UpSell,71,Ad -  Bikes ,TikTok
13,Sports & Outdoors  - Campaign,2019-03-08,2019-03-12,UpSell,72,Ad -  Sports ,Website
13,Sports & Outdoors  - Campaign,2019-03-08,2019-03-12,UpSell,73,Ad -  Bikes ,GameApp
13,Sports & Outdoors  - Campaign,2019-03-08,2019-03-12,UpSell,74,Ad -  Sports Fan Shop ,MicroSite
14,Health  - Campaign,2019-03-12,2019-03-16,Other,75,Ad -  Foot Care ,Instagram
14,Health  - Campaign,2019-03-12,2019-03-16,Other,76,Ad -  Lip Care ,MobileApp
15,Health  - Campaign,2019-03-25,2019-03-29,UpSell,77,Ad -  Childrens Health Shop ,TikTok
15,Health  - Campaign,2019-03-25,2019-03-29,UpSell,78,Ad -  Bedroom Safety & Aids ,Website
15,Health  - Campaign,2019-03-25,2019-03-29,UpSell,79,Ad -  Home Health Care ,Website
15,Health  - Campaign,2019-03-25,2019-03-29,UpSell,80,Ad -  Eye Care ,TikTok
15,Health  - Campaign,2019-03-25,2019-03-29,UpSell,81,Ad -  Childrens Health ,MicroSite
15,Health  - Campaign,2019-03-25,2019-03-29,UpSell,82,Ad -  Childrens Health Shop ,SearchEngine
15,Health  - Campaign,2019-03-25,2019-03-29,UpSell,83,Ad -  Sexual Wellness Top Brands ,SearchEngine
15,Health  - Campaign,2019-03-25,2019-03-29,UpSell,84,Ad -  First Aid ,GameApp
15,Health  - Campaign,2019-03-25,2019-03-29,UpSell,85,Ad -  Sleep & Snoring Aids ,Instagram
15,Health  - Campaign,2019-03-25,2019-03-29,UpSell,86,Ad -  Family Planning ,SearchEngine
16,Patio & Garden  - Campaign,2019-04-01,2019-04-05,Other,87,Ad -  Hot Tubs & Saunas ,Twitter
16,Patio & Garden  - Campaign,2019-04-01,2019-04-05,Other,88,Ad -  Hot Tubs & Saunas ,Facebook
16,Patio & Garden  - Campaign,2019-04-01,2019-04-05,Other,89,Ad -  Garden Center ,Website
16,Patio & Garden  - Campaign,2019-04-01,2019-04-05,Other,90,Ad -  Grills & Outdoor Cooking ,SearchEngine
16,Patio & Garden  - Campaign,2019-04-01,2019-04-05,Other,91,Ad -  Patio & Outdoor Decor ,Facebook
16,Patio & Garden  - Campaign,2019-04-01,2019-04-05,Other,92,Ad -  Patio & Outdoor Decor ,Facebook
16,Patio & Garden  - Campaign,2019-04-01,2019-04-05,Other,93,Ad -  Grills & Outdoor Cooking ,SearchEngine
16,Patio & Garden  - Campaign,2019-04-01,2019-04-05,Other,94,Ad -  Grills & Outdoor Cooking ,Twitter
16,Patio & Garden  - Campaign,2019-04-01,2019-04-05,Other,95,Ad -  Patio & Outdoor Decor ,Facebook
16,Patio & Garden  - Campaign,2019-04-01,2019-04-05,Other,96,Ad -  Garden Center ,Twitter
16,Patio & Garden  - Campaign,2019-04-01,2019-04-05,Other,97,Ad -  Grills & Outdoor Cooking ,Instagram
17,Food  - Campaign,2019-04-19,2019-04-23,UpSell,98,Ad -  Chocolate Candy & Gum ,Facebook
17,Food  - Campaign,2019-04-19,2019-04-23,UpSell,99,Ad -  Snacks Cookies & Chips ,MicroSite
17,Food  - Campaign,2019-04-19,2019-04-23,UpSell,100,Ad -  Fresh Food ,GoogleAds
17,Food  - Campaign,2019-04-19,2019-04-23,UpSell,101,Ad -  Chocolate Candy & Gum ,Website
17,Food  - Campaign,2019-04-19,2019-04-23,UpSell,102,Ad -  Snacks Cookies & Chips ,Website
17,Food  - Campaign,2019-04-19,2019-04-23,UpSell,103,Ad -  Breakfast & Cereal ,TikTok
17,Food  - Campaign,2019-04-19,2019-04-23,UpSell,104,Ad -  Meal Solutions Grains & Pasta ,Instagram
17,Food  - Campaign,2019-04-19,2019-04-23,UpSell,105,Ad -  Snacks Cookies & Chips ,Website
17,Food  - Campaign,2019-04-19,2019-04-23,UpSell,106,Ad -  Fresh Cut Flowers ,GameApp
17,Food  - Campaign,2019-04-19,2019-04-23,UpSell,107,Ad -  Snacks Cookies & Chips ,Instagram
17,Food  - Campaign,2019-04-19,2019-04-23,UpSell,108,Ad -  Condiments Sauces & Spices ,Twitter
18,Clothing  - Campaign,2019-04-24,2019-04-28,Special,109,Ad -  Swim Shop ,Facebook
18,Clothing  - Campaign,2019-04-24,2019-04-28,Special,110,Ad -  Mens Clothing ,TikTok
18,Clothing  - Campaign,2019-04-24,2019-04-28,Special,111,Ad -  Sleepwear Shop ,TikTok
18,Clothing  - Campaign,2019-04-24,2019-04-28,Special,112,Ad -  Juniors ,Website
18,Clothing  - Campaign,2019-04-24,2019-04-28,Special,113,Ad -  Womens Clothing ,GoogleAds
19,Beauty  - Campaign,2019-05-01,2019-05-05,Retention,114,Ad -  Fragrances ,Instagram
19,Beauty  - Campaign,2019-05-01,2019-05-05,Retention,115,Ad -  New Arrivals ,SearchEngine
19,Beauty  - Campaign,2019-05-01,2019-05-05,Retention,116,Ad -  Beauty Next Day,SearchEngine
19,Beauty  - Campaign,2019-05-01,2019-05-05,Retention,117,Ad -  Back to College Beauty ,Twitter
19,Beauty  - Campaign,2019-05-01,2019-05-05,Retention,118,Ad -  Clearance on Health Beauty Wellness & Personal Care,MicroSite
19,Beauty  - Campaign,2019-05-01,2019-05-05,Retention,119,Ad -  Beauty by Topic ,Website
19,Beauty  - Campaign,2019-05-01,2019-05-05,Retention,120,Ad -  New Arrivals ,Website
19,Beauty  - Campaign,2019-05-01,2019-05-05,Retention,121,Ad -  Beauty Next Day,GoogleAds
19,Beauty  - Campaign,2019-05-01,2019-05-05,Retention,122,Ad -  Fragrance Best Sellers ,GameApp
19,Beauty  - Campaign,2019-05-01,2019-05-05,Retention,123,Ad -  Premium Beauty ,Website
19,Beauty  - Campaign,2019-05-01,2019-05-05,Retention,124,Ad -  Travel Size Beauty ,MobileApp
20,Toys  - Campaign,2019-05-05,2019-05-09,UpSell,125,Ad -  Disney Toys ,Twitter
20,Toys  - Campaign,2019-05-05,2019-05-09,UpSell,126,Ad -  Pretend Play ,MobileApp
20,Toys  - Campaign,2019-05-05,2019-05-09,UpSell,127,Ad -  Kids Bikes & Riding Toys ,MobileApp
20,Toys  - Campaign,2019-05-05,2019-05-09,UpSell,128,Ad -  Shop Toys by Brand ,MicroSite
20,Toys  - Campaign,2019-05-05,2019-05-09,UpSell,129,Ad -  Arts & Crafts for Kids ,MicroSite
20,Toys  - Campaign,2019-05-05,2019-05-09,UpSell,130,Ad -  Shop Toys by Price,GoogleAds
20,Toys  - Campaign,2019-05-05,2019-05-09,UpSell,131,Ad -  Pretend Play ,Website
20,Toys  - Campaign,2019-05-05,2019-05-09,UpSell,132,Ad -  Disney Toys ,TikTok
20,Toys  - Campaign,2019-05-05,2019-05-09,UpSell,133,Ad -  Shop Toys by Brand ,Twitter
21,Health  - Campaign,2019-05-16,2019-05-20,Retention,134,Ad -  Quit Smoking ,SearchEngine
21,Health  - Campaign,2019-05-16,2019-05-20,Retention,135,Ad -  Sexual Wellness Top Brands ,MicroSite
21,Health  - Campaign,2019-05-16,2019-05-20,Retention,136,Ad -  Childrens Health Shop ,Facebook
21,Health  - Campaign,2019-05-16,2019-05-20,Retention,137,Ad -  Lip Care ,MicroSite
21,Health  - Campaign,2019-05-16,2019-05-20,Retention,138,Ad -  Laxatives ,MobileApp
21,Health  - Campaign,2019-05-16,2019-05-20,Retention,139,Ad -  Ear Care ,GoogleAds
21,Health  - Campaign,2019-05-16,2019-05-20,Retention,140,Ad -  Gas Relief ,SearchEngine
21,Health  - Campaign,2019-05-16,2019-05-20,Retention,141,Ad -  Ear Care ,GameApp
22,Health  - Campaign,2019-05-23,2019-05-27,Cross-Sell,142,Ad -  Childrens Health Shop ,Instagram
22,Health  - Campaign,2019-05-23,2019-05-27,Cross-Sell,143,Ad -  Medicine Cabinet ,Facebook
22,Health  - Campaign,2019-05-23,2019-05-27,Cross-Sell,144,Ad -  Family Planning ,AdobeAds
22,Health  - Campaign,2019-05-23,2019-05-27,Cross-Sell,145,Ad -  Acid Reflux ,Twitter
22,Health  - Campaign,2019-05-23,2019-05-27,Cross-Sell,146,Ad -  Caregiver ,Instagram
23,Memorial Day - Campaign,2019-05-24,2019-05-28,Other,147,Ad -  Coffee ,GameApp
23,Memorial Day - Campaign,2019-05-24,2019-05-28,Other,148,Ad -  Condiments Sauces & Spices ,Website
23,Memorial Day - Campaign,2019-05-24,2019-05-28,Other,149,Ad -  Seasonal Grocery ,GameApp
23,Memorial Day - Campaign,2019-05-24,2019-05-28,Other,150,Ad -  Condiments Sauces & Spices ,GoogleAds
23,Memorial Day - Campaign,2019-05-24,2019-05-28,Other,151,Ad -  Seasonal Grocery ,GoogleAds
23,Memorial Day - Campaign,2019-05-24,2019-05-28,Other,152,Ad -  Fresh Food ,MobileApp
24,Memorial Day - Campaign,2019-05-25,2019-05-29,Acquisition,153,Ad -  Paper & Plastic ,GoogleAds
24,Memorial Day - Campaign,2019-05-25,2019-05-29,Acquisition,154,Ad -  Cleaning Supplies ,Website
24,Memorial Day - Campaign,2019-05-25,2019-05-29,Acquisition,155,Ad -  Batteries ,AdobeAds
24,Memorial Day - Campaign,2019-05-25,2019-05-29,Acquisition,156,Ad -  Air Fresheners ,AdobeAds
25,Memorial Day - Campaign,2019-05-26,2019-05-30,UpSell,157,Ad -  Sun Care,GoogleAds
25,Memorial Day - Campaign,2019-05-26,2019-05-30,UpSell,158,Ad -  Sun Care,AdobeAds
25,Memorial Day - Campaign,2019-05-26,2019-05-30,UpSell,159,Ad -  Clean Living Bath & Body ,Twitter
25,Memorial Day - Campaign,2019-05-26,2019-05-30,UpSell,160,Ad -  Oral Care ,Instagram
25,Memorial Day - Campaign,2019-05-26,2019-05-30,UpSell,161,Ad -  Sun Care ,Website
25,Memorial Day - Campaign,2019-05-26,2019-05-30,UpSell,162,Ad -  Deodorants & Antiperspirants,GoogleAds
25,Memorial Day - Campaign,2019-05-26,2019-05-30,UpSell,163,Ad -  Incontinence ,GoogleAds
25,Memorial Day - Campaign,2019-05-26,2019-05-30,UpSell,164,Ad -  Feminine Care ,GoogleAds
25,Memorial Day - Campaign,2019-05-26,2019-05-30,UpSell,165,Ad -  Feminine Care ,MobileApp
25,Memorial Day - Campaign,2019-05-26,2019-05-30,UpSell,166,Ad -  Oral Care ,AdobeAds
25,Memorial Day - Campaign,2019-05-26,2019-05-30,UpSell,167,Ad -  Sun Care ,Website
26,Memorial Day - Campaign,2019-05-27,2019-05-31,Acquisition,168,Ad -  Acid Reflux ,Website
26,Memorial Day - Campaign,2019-05-27,2019-05-31,Acquisition,169,Ad -  Childrens Health Shop ,SearchEngine
26,Memorial Day - Campaign,2019-05-27,2019-05-31,Acquisition,170,Ad -  Weight Management ,MicroSite
27,Food  - Campaign,2019-06-16,2019-06-20,UpSell,171,Ad -  Baking ,AdobeAds
27,Food  - Campaign,2019-06-16,2019-06-20,UpSell,172,Ad -  Fresh Cut Flowers ,MobileApp
27,Food  - Campaign,2019-06-16,2019-06-20,UpSell,173,Ad -  Coffee ,Instagram
27,Food  - Campaign,2019-06-16,2019-06-20,UpSell,174,Ad -  Gift Baskets ,Website
28,Home Improvement  - Campaign,2019-06-19,2019-06-23,Other,175,Ad -  Electrical ,GameApp
28,Home Improvement  - Campaign,2019-06-19,2019-06-23,Other,176,Ad -  Electrical ,MobileApp
28,Home Improvement  - Campaign,2019-06-19,2019-06-23,Other,177,Ad -  Home Safety ,Twitter
28,Home Improvement  - Campaign,2019-06-19,2019-06-23,Other,178,Ad -  Electrical ,TikTok
28,Home Improvement  - Campaign,2019-06-19,2019-06-23,Other,179,Ad -  Electrical ,GameApp
28,Home Improvement  - Campaign,2019-06-19,2019-06-23,Other,180,Ad -  Safety Equipment and Gear,GameApp
28,Home Improvement  - Campaign,2019-06-19,2019-06-23,Other,181,Ad -  Tools ,Twitter
28,Home Improvement  - Campaign,2019-06-19,2019-06-23,Other,182,Ad -  Tools ,GameApp
28,Home Improvement  - Campaign,2019-06-19,2019-06-23,Other,183,Ad -  Tools ,Instagram
29,Independence Day - Campaign,2019-07-04,2019-07-08,Cross-Sell,184,Ad -  Medicine Cabinet ,GameApp
29,Independence Day - Campaign,2019-07-04,2019-07-08,Cross-Sell,185,Ad -  Digestive Health ,TikTok
29,Independence Day - Campaign,2019-07-04,2019-07-08,Cross-Sell,186,Ad -  Lip Care ,AdobeAds
29,Independence Day - Campaign,2019-07-04,2019-07-08,Cross-Sell,187,Ad -  Sexual Wellness Top Brands ,SearchEngine
29,Independence Day - Campaign,2019-07-04,2019-07-08,Cross-Sell,188,Ad -  Medicine Cabinet Must Haves ,Twitter
29,Independence Day - Campaign,2019-07-04,2019-07-08,Cross-Sell,189,Ad -  Digestive Health ,SearchEngine
30,Independence Day - Campaign,2019-07-05,2019-07-09,Other,190,Ad -  Shoes ,Website
30,Independence Day - Campaign,2019-07-05,2019-07-09,Other,191,Ad -  Fashion Brands ,Instagram
30,Independence Day - Campaign,2019-07-05,2019-07-09,Other,192,Ad -  Bags & Accessories ,Instagram
30,Independence Day - Campaign,2019-07-05,2019-07-09,Other,193,Ad -  Swim Shop ,SearchEngine
31,Independence Day - Campaign,2019-07-06,2019-07-10,UpSell,194,Ad -  Heating Cooling & Air Quality ,SearchEngine
32,Independence Day - Campaign,2019-07-07,2019-07-11,UpSell,195,Ad -  Nursery & Decor ,TikTok
32,Independence Day - Campaign,2019-07-07,2019-07-11,UpSell,196,Ad -  Baby Shower Gifts ,Website
33,Home  - Campaign,2019-07-11,2019-07-15,UpSell,197,Ad -  Bath ,Facebook
33,Home  - Campaign,2019-07-11,2019-07-15,UpSell,198,Ad -  Kitchen & Dining ,MicroSite
33,Home  - Campaign,2019-07-11,2019-07-15,UpSell,199,Ad -  Kitchen & Dining ,MicroSite
34,Household Essentials  - Campaign,2019-07-19,2019-07-23,Other,200,Ad -  Laundry ,Facebook
34,Household Essentials  - Campaign,2019-07-19,2019-07-23,Other,201,Ad -  Batteries ,Instagram
34,Household Essentials  - Campaign,2019-07-19,2019-07-23,Other,202,Ad -  Air Fresheners ,SearchEngine
35,Food  - Campaign,2019-08-14,2019-08-18,Other,203,Ad -  Seasonal Grocery ,Website
35,Food  - Campaign,2019-08-14,2019-08-18,Other,204,Ad -  Organic Foods ,MobileApp
35,Food  - Campaign,2019-08-14,2019-08-18,Other,205,Ad -  Meal Solutions Grains & Pasta ,MobileApp
35,Food  - Campaign,2019-08-14,2019-08-18,Other,206,Ad -  Condiments Sauces & Spices ,AdobeAds
35,Food  - Campaign,2019-08-14,2019-08-18,Other,207,Ad -  Gluten-Free Foods ,Twitter
36,Toys  - Campaign,2019-08-21,2019-08-25,UpSell,208,Ad -  Arts & Crafts for Kids ,GoogleAds
36,Toys  - Campaign,2019-08-21,2019-08-25,UpSell,209,Ad -  Disney Toys ,MobileApp
37,Household Essentials  - Campaign,2019-08-24,2019-08-28,Retention,210,Ad -  Paper & Plastic ,MobileApp
38,Labor Day - Campaign,2019-08-30,2019-09-03,Other,211,Ad -  Baby Activities & Gear ,GoogleAds
38,Labor Day - Campaign,2019-08-30,2019-09-03,Other,212,Ad -  Baby Activities & Gear ,AdobeAds
38,Labor Day - Campaign,2019-08-30,2019-09-03,Other,213,Ad -  Baby Shower Gifts ,GameApp
39,Labor Day - Campaign,2019-08-31,2019-09-04,Other,214,Ad -  Fresh Cut Flowers ,Twitter
39,Labor Day - Campaign,2019-08-31,2019-09-04,Other,215,Ad -  Gift Baskets ,SearchEngine
39,Labor Day - Campaign,2019-08-31,2019-09-04,Other,216,Ad -  Chocolate Candy & Gum ,Website
39,Labor Day - Campaign,2019-08-31,2019-09-04,Other,217,Ad -  Breakfast & Cereal ,Facebook
39,Labor Day - Campaign,2019-08-31,2019-09-04,Other,218,Ad -  Snacks Cookies & Chips ,SearchEngine
39,Labor Day - Campaign,2019-08-31,2019-09-04,Other,219,Ad -  Meal Solutions Grains & Pasta ,Website
39,Labor Day - Campaign,2019-08-31,2019-09-04,Other,220,Ad -  Organic Foods ,Twitter
39,Labor Day - Campaign,2019-08-31,2019-09-04,Other,221,Ad -  Meal Solutions Grains & Pasta ,GoogleAds
39,Labor Day - Campaign,2019-08-31,2019-09-04,Other,222,Ad -  Seasonal Grocery ,SearchEngine
39,Labor Day - Campaign,2019-08-31,2019-09-04,Other,223,Ad -  Chocolate Candy & Gum ,GoogleAds
40,Labor Day - Campaign,2019-09-01,2019-09-05,Other,224,Ad -  Shoes ,Instagram
40,Labor Day - Campaign,2019-09-01,2019-09-05,Other,225,Ad -  Swim Shop ,Website
40,Labor Day - Campaign,2019-09-01,2019-09-05,Other,226,Ad -  Juniors ,AdobeAds
40,Labor Day - Campaign,2019-09-01,2019-09-05,Other,227,Ad -  Juniors ,SearchEngine
40,Labor Day - Campaign,2019-09-01,2019-09-05,Other,228,Ad -  Womens Plus ,GoogleAds
40,Labor Day - Campaign,2019-09-01,2019-09-05,Other,229,Ad -  Bags & Accessories ,GameApp
40,Labor Day - Campaign,2019-09-01,2019-09-05,Other,230,Ad -  Mens Clothing ,GameApp
40,Labor Day - Campaign,2019-09-01,2019-09-05,Other,231,Ad -  Bags & Accessories ,TikTok
41,Labor Day - Campaign,2019-09-02,2019-09-06,Special,232,Ad -  Seasonal Grocery ,SearchEngine
41,Labor Day - Campaign,2019-09-02,2019-09-06,Special,233,Ad -  Chocolate Candy & Gum ,GoogleAds
41,Labor Day - Campaign,2019-09-02,2019-09-06,Special,234,Ad -  Breakfast & Cereal ,GoogleAds
41,Labor Day - Campaign,2019-09-02,2019-09-06,Special,235,Ad -  Beverages ,MobileApp
41,Labor Day - Campaign,2019-09-02,2019-09-06,Special,236,Ad -  Organic Foods ,SearchEngine
41,Labor Day - Campaign,2019-09-02,2019-09-06,Special,237,Ad -  Gluten-Free Foods ,MobileApp
41,Labor Day - Campaign,2019-09-02,2019-09-06,Special,238,Ad -  Fresh Cut Flowers ,GameApp
42,Health  - Campaign,2019-09-09,2019-09-13,Other,239,Ad -  First Aid ,MicroSite
42,Health  - Campaign,2019-09-09,2019-09-13,Other,240,Ad -  Sleep & Snoring Aids ,SearchEngine
43,Columbus Day - Campaign,2019-10-11,2019-10-15,UpSell,241,Ad -  Womens Clothing ,SearchEngine
43,Columbus Day - Campaign,2019-10-11,2019-10-15,UpSell,242,Ad -  Mens Clothing ,Twitter
43,Columbus Day - Campaign,2019-10-11,2019-10-15,UpSell,243,Ad -  Bags & Accessories ,TikTok
43,Columbus Day - Campaign,2019-10-11,2019-10-15,UpSell,244,Ad -  Mens Clothing ,Website
43,Columbus Day - Campaign,2019-10-11,2019-10-15,UpSell,245,Ad -  Mens Clothing ,MobileApp
43,Columbus Day - Campaign,2019-10-11,2019-10-15,UpSell,246,Ad -  Sleepwear Shop ,GoogleAds
43,Columbus Day - Campaign,2019-10-11,2019-10-15,UpSell,247,Ad -  Sleepwear Shop ,SearchEngine
43,Columbus Day - Campaign,2019-10-11,2019-10-15,UpSell,248,Ad -  Womens Clothing ,GameApp
44,Columbus Day - Campaign,2019-10-12,2019-10-16,Retention,249,Ad -  Sports Fan Shop ,TikTok
45,Columbus Day - Campaign,2019-10-13,2019-10-17,Cross-Sell,250,Ad -  Games & Puzzles ,Instagram
46,Columbus Day - Campaign,2019-10-14,2019-10-18,Acquisition,251,Ad -  Premium Bath & Body ,MicroSite
47,Toys  - Campaign,2019-10-17,2019-10-21,UpSell,252,Ad -  Games & Puzzles ,GoogleAds
47,Toys  - Campaign,2019-10-17,2019-10-21,UpSell,253,Ad -  Outdoor Play ,GoogleAds
47,Toys  - Campaign,2019-10-17,2019-10-21,UpSell,254,Ad -  Pretend Play ,Website
