device,device_type
334388-462081,Other
098135-151100,Game
219035-712019,Game
646157-262012,Tablet
102477-264079,Tablet
079303-687081,Computer
351551-268105,Game
704414-726085,Tablet
126109-182053,TV
029322-583083,Tablet
946511-198014,Game
866379-438033,Tablet
455121-636061,Phone
625284-398035,Tablet
057248-536039,Tablet
006069-401010,TV
319018-234023,Game
711483-293074,Tablet
591079-322071,TV
441330-691082,Other
447148-526035,Computer
629261-423101,Other
179181-624015,Game
970506-456001,Tablet
608512-467037,Other
851269-586031,TV
587525-758108,Tablet
420079-195049,Computer
102478-212023,Other
702367-599001,Phone
431185-488029,Game
357153-450095,Phone
586094-574008,Other
790036-559055,Phone
960289-441047,Other
100054-295031,Other
158213-511082,TV
539192-236038,Phone
313210-274087,Game
646386-126051,Phone
552291-543002,Computer
866431-548069,Tablet
176433-189004,TV
926063-729074,Other
705061-201002,TV
671184-412065,Game
653256-712013,Phone
618182-431064,Computer
012186-413007,Other
907344-369011,Phone
417471-213043,TV
356539-487063,Other
838054-557024,Phone
563343-595050,TV
562302-749087,TV
054231-535093,Tablet
226480-222093,TV
763513-763033,TV
895325-312087,Game
042208-172036,Phone
632529-354001,TV
917125-530042,TV
061509-666066,Tablet
330550-566085,TV
881415-635054,Computer
910350-177103,Game
694278-430071,TV
783003-219024,Game
199531-565051,TV
971240-208015,Other
998361-215071,Tablet
768219-772007,Game
746060-514008,Phone
477422-563046,Tablet
771257-635016,TV
605497-635044,Phone
228153-420079,Other
436046-673028,Other
488073-310033,Game
391187-268052,Game
214381-155105,Tablet
580481-178051,Phone
302532-411050,Other
502103-162066,Computer
601176-674003,Other
407376-524016,TV
128461-291099,Game
110182-772039,Tablet
063414-702085,TV
585194-494053,Game
513330-468057,Game
557388-422012,Other
990255-579011,TV
061129-690104,Computer
846256-456046,Computer
729425-118106,Other
888121-559066,TV
828221-668088,Other
916471-665098,Phone
457448-267018,Game
120437-716044,Game
096527-407095,Tablet
763186-379004,Tablet
090120-168078,Tablet
794512-431044,Other
430539-147077,TV
511418-712021,Other
270063-518027,TV
552212-229054,Game
427111-707020,Tablet
745393-776055,Computer
827315-690077,Computer
977207-470039,Computer
749076-232046,Computer
502448-152016,Game
734033-716059,Computer
251095-314062,Phone
501391-721009,Phone
369182-472064,TV
249260-220077,Phone
289247-682096,Computer
584333-637057,Other
513457-313002,Computer
083235-596001,Tablet
226043-526057,Computer
947095-630063,Phone
282122-730108,Phone
613445-154034,TV
893455-309021,Tablet
623087-421026,Tablet
662054-207011,Other
543286-364108,Other
303439-733019,Computer
411127-350076,Game
907328-562022,Other
159341-250026,Phone
706063-761069,Other
022446-421090,Other
097414-463081,Other
472378-448075,Computer
547313-696070,Game
567209-205072,Other
131029-232028,Phone
761317-465041,TV
766029-184008,Phone
438297-510017,Computer
953241-318072,Game
628382-246037,Tablet
924391-647091,Phone
416400-633077,Computer
869426-571037,Computer
026029-116026,Computer
958028-184039,TV
037311-571025,Other
205412-766077,Phone
568402-291069,Phone
413078-682016,Computer
214417-303106,Tablet
038392-638036,TV
433162-458040,Computer
607509-689103,Game
739265-317037,Game
629212-321004,Computer
493297-610089,Game
756059-223002,Other
170239-164082,Phone
380286-699002,Tablet
493248-522068,Phone
939179-120101,Phone
568534-682061,Game
647395-257109,Other
696143-439021,Game
566013-560013,TV
138145-436008,Tablet
249426-237027,Other
823169-483078,Computer
648440-166110,Phone
948449-636100,Phone
779076-733110,Tablet
105428-215083,TV
146154-209104,Tablet
493246-438089,TV
809015-233039,Computer
255389-195041,Phone
214206-760063,Computer
789382-446036,Game
518148-205063,Other
245357-557078,TV
856229-436047,Other
938250-592021,TV
047179-511046,TV
043362-590076,Game
407290-340048,Computer
283421-277103,Computer
095504-134041,TV
080096-640104,Phone
104452-221019,Game
405316-729010,Phone
699036-673083,Game
354323-738103,Tablet
593321-159110,Game
032014-236064,Tablet
591307-646081,Computer
689491-375107,Computer
973452-714066,Tablet
555001-491010,TV
386001-414024,Computer
434439-115073,Computer
455197-518091,Computer
121419-209019,Phone
069544-599052,Other
471524-382104,Other
221095-655022,Tablet
395547-589018,Game
029487-212078,Phone
735551-448110,TV
102174-458024,Other
070137-180053,Computer
460130-281107,Phone
339192-358040,Phone
928506-471089,Tablet
617357-497020,Phone
649167-355026,Tablet
312261-658058,Phone
026324-487095,Tablet
834478-277001,Other
491441-528018,Computer
527178-660101,Computer
753279-695012,TV
680392-639077,Game
892550-639086,Phone
285074-452039,Computer
930539-612033,Computer
591431-708100,Tablet
049044-529109,Game
226469-647015,Computer
555027-352049,Computer
685480-540062,TV
216098-334007,TV
130356-354029,Phone
158103-303099,Other
628165-708103,Tablet
993353-309051,TV
666147-525061,TV
626519-491047,Other
700326-155036,Tablet
161360-258008,TV
528501-245049,Game
853231-593019,Computer
224173-389034,Tablet
974292-640077,Computer
636033-366108,Phone
397475-419080,Phone
755275-123005,TV
750049-426006,Phone
085203-126035,Game
076134-372005,TV
001521-339018,TV
520433-413108,TV
043315-147047,Other
860095-348052,Tablet
879278-279109,Phone
967161-435062,Other
300253-511068,Game
256225-196034,Game
663075-197032,Other
371243-145065,Game
625168-523015,TV
361150-497061,Tablet
073189-610078,Tablet
835541-649072,Other
808396-319069,Tablet
985228-522073,TV
080139-286030,Computer
160035-694035,Computer
042417-114041,Game
985246-240050,Computer
337398-191086,Other
988183-220046,TV
661114-711087,Computer
490079-337008,Computer
813287-723072,Computer
757336-597090,Other
507364-394082,Phone
603279-537096,TV
821118-336011,TV
321154-251060,TV
222020-270017,Phone
111121-214108,Other
084554-311084,Computer
740290-564078,Computer
182181-610051,Game
828456-629088,Phone
056115-688108,Computer
241472-479044,Computer
783041-347019,Game
910549-454067,TV
322134-402039,TV
987406-388062,Game
417282-481005,Game
917375-688098,Tablet
016365-148044,Computer
292221-359084,Other
255088-567100,Other
664075-612076,Other
758100-140039,Tablet
987207-321021,Phone
988205-148029,TV
726029-212096,Computer
083418-318013,Tablet
710067-499095,Game
572346-594103,Phone
159320-584100,TV
573225-394054,Computer
105458-426006,Phone
712105-138098,Other
046102-431022,Other
543115-770058,Game
020084-621037,TV
136415-253084,Phone
809455-181027,Tablet
681151-684016,TV
059508-114105,Computer
004020-217081,Game
070150-292007,Other
464293-530108,Phone
060047-322059,Phone
544263-425096,Other
644378-589026,Game
223146-587071,Phone
476046-163046,Computer
544541-228097,TV
440391-273056,Other
720076-213098,Game
323442-521062,Tablet
943450-157103,Tablet
322149-725035,Phone
350290-544023,Computer
038474-304024,Tablet
783442-275065,Computer
088367-693021,Tablet
655383-671037,Phone
802113-664088,Game
723236-718098,TV
215219-411011,Game
390088-116038,Computer
831431-292034,Phone
338286-244081,TV
792367-456037,Tablet
581266-707032,Game
406404-511010,Other
376007-605067,Game
233336-229091,Other
197321-702090,Other
882199-716008,Tablet
209312-524067,Computer
713014-629028,Phone
314110-186014,Tablet
374405-150084,Game
411131-407042,TV
039379-744073,Other
402387-325051,Other
200266-121072,Computer
731408-457051,Tablet
749023-119047,Other
169331-623015,Other
403392-659074,Game
053019-542046,Other
801493-187034,Other
577491-262102,Computer
851386-622057,Other
573167-541006,Phone
279427-645016,Game
481339-336096,Game
052287-639024,Game
601370-619004,Other
346195-348012,Phone
575299-541048,TV
085345-488046,Game
907255-189068,Computer
593368-402075,TV
776090-693068,Tablet
844065-397011,Game
493084-328012,Other
907536-511084,Phone
353245-370040,Computer
529144-718020,Tablet
289055-628103,TV
140315-671023,Game
291012-650105,TV
645377-247039,Other
222047-431046,Computer
507337-175045,Computer
758454-613064,Tablet
022310-700088,Computer
825438-418034,Tablet
790502-428084,Other
912176-541019,TV
872247-768048,Phone
109370-557099,Tablet
354392-709030,Tablet
027099-749052,TV
733470-255083,Tablet
938058-174006,Game
697012-470011,TV
709284-137027,Computer
871294-481064,Tablet
050047-386055,Game
652359-619069,Phone
675045-372027,Other
051189-744087,Tablet
935150-753023,Computer
580031-700104,Computer
877006-475046,Other
874016-605046,Other
366201-775031,TV
767181-712028,Phone
955402-494108,Game
688541-161038,Tablet
390349-643059,Phone
372403-312034,TV
700554-510025,TV
794228-334028,Phone
745332-417100,Computer
270460-720105,Tablet
154027-588100,Phone
893099-567026,Game
585435-679047,Phone
202475-570107,Other
352322-217000,Other
289094-422087,Other
966115-361017,Tablet
295044-520048,Phone
172074-326009,Tablet
143077-252051,Game
988019-421104,Game
285369-697063,Game
110093-537075,Other
530279-338010,Tablet
036036-755026,Game
837479-293093,Other
233198-598026,TV
377357-126025,Tablet
285012-652104,Tablet
559303-646024,Phone
158501-527097,Other
207053-210077,TV
487017-227078,Game
427373-564067,Phone
517378-389087,TV
438026-222083,Phone
123035-309081,Computer
270463-287008,Computer
073297-579086,Computer
272130-404097,Game
165426-593026,Tablet
823313-491010,Other
818508-526024,Game
498132-618048,Computer
275034-268075,Game
916098-181075,Phone
077363-317039,Game
475246-188075,TV
722206-636028,Other
745308-189089,TV
812452-332014,Tablet
962171-432097,Other
954530-390076,Tablet
053374-303036,TV
365271-207101,Tablet
832221-131038,Computer
137215-655089,Computer
782290-330102,TV
457454-697043,Tablet
751123-473091,TV
226455-337110,Tablet
161109-549046,Tablet
807428-185099,TV
565302-655084,Computer
585327-719036,TV
141061-669109,Other
672285-263055,Computer
106281-323051,TV
721452-144097,Game
569489-386085,TV
421273-613000,Computer
721212-660046,Other
509138-557058,TV
133429-262056,Game
043158-456046,Computer
473190-548071,Game
138442-261024,Computer
299182-323000,Tablet
734299-589069,Other
685005-496093,Phone
563357-652066,Tablet
855382-723097,Tablet
025052-445036,Other
469500-748091,Other
552402-624048,Game
992430-317058,Phone
340261-375093,Other
471199-528029,Computer
683446-623032,TV
489025-649089,Computer
580225-210056,Tablet
116185-419042,Game
341473-716055,Other
441042-737020,TV
684320-528060,Other
023101-336026,Phone
951404-287088,Tablet
538422-392082,Phone
259021-430002,TV
148111-500019,Tablet
756431-609013,TV
120315-571059,Tablet
131023-709058,Tablet
226090-461002,Phone
545281-388068,Computer
791360-147078,TV
469097-758013,Phone
186387-298066,TV
029517-772057,Computer
300135-598008,Other
991047-378022,Tablet
355174-645027,Other
799286-502012,Computer
440356-691082,TV
914326-169052,TV
805457-600014,Phone
779304-315093,Other
366061-509054,Other
693481-274000,Game
746368-282064,Tablet
879192-232006,Phone
120131-517101,Phone
828188-154075,Tablet
892239-425017,Tablet
433353-275109,Game
991058-519098,Computer
954009-582108,Tablet
558425-523026,Phone
184455-311088,Game
199260-469044,Other
612306-401065,Phone
672258-670050,TV
724289-362064,Computer
408021-625068,Tablet
859415-562092,Computer
155096-705094,TV
737392-520058,TV
477110-656079,Other
727245-209081,TV
947478-463020,TV
855499-453040,Tablet
073212-496014,Computer
150360-506061,Phone
006052-497109,Phone
849027-385107,Game
191100-386020,Computer
442053-471028,Computer
981081-246040,Game
328447-446067,TV
219414-596030,Game
010367-645015,Computer
032030-618066,Tablet
613151-260006,Game
576162-468011,Game
110529-467100,Other
289549-196006,Game
126510-627043,Game
506003-487024,Phone
840289-477061,TV
658049-394088,Other
577388-694031,TV
601546-414067,Phone
687019-564065,Game
814065-579002,Phone
387033-600017,Tablet
422061-448030,Tablet
887489-688068,TV
095115-659071,Phone
707216-201084,Other
887114-560082,Game
946350-327024,Tablet
588080-214089,TV
077419-506025,Phone
866009-556029,Other
544018-391026,Other
362442-319002,Game
976234-430009,Computer
845543-730012,TV
036157-292009,Tablet
946201-643072,TV
058029-651041,Phone
338449-489078,Phone
839105-213037,TV
830459-448000,Phone
572220-111053,Game
017202-711018,Game
113016-416041,Computer
650350-504018,Other
385442-640014,Tablet
776405-718050,Other
077430-305101,Computer
385338-502008,TV
385149-334004,Other
448295-181029,Phone
696539-341096,TV
642037-435109,Other
758455-697085,Phone
712303-117011,Tablet
893132-286008,Game
077314-714023,Phone
160384-658003,Other
898349-503077,TV
004047-425031,Other
853448-762096,Game
243535-185006,TV
833541-414033,TV
366370-638085,Tablet
286239-184085,Tablet
662498-177021,Other
850288-383056,Computer
028386-175104,Other
186218-461022,Phone
220057-566063,TV
548376-174023,TV
890123-508083,Computer
533351-682066,Other
463201-116033,Game
077098-708102,Tablet
252235-575056,Other
826204-571107,Phone
205343-257004,Game
241431-505095,Tablet
477451-190070,TV
154071-368074,Game
127195-277059,Phone
741463-290052,Tablet
933345-246083,Game
369245-645088,Tablet
476317-167102,Phone
787275-504057,Computer
299197-123080,Game
359035-573028,TV
020369-615087,TV
578318-243057,Game
696514-771040,Other
911113-378083,Game
544261-332046,TV
073527-759048,Phone
093092-453075,Other
633202-776090,Phone
224330-680012,Phone
699374-473019,Other
172445-774079,Game
933203-503107,Computer
142548-519097,Other
544527-605038,Tablet
223428-768065,Game
850479-763082,TV
727171-521007,Phone
072442-164052,Game
251530-515059,Tablet
677542-754104,Phone
010473-728099,Phone
291171-255055,Computer
669543-520066,Game
662405-126075,Game
287046-202102,TV
410191-641078,TV
175265-201084,Game
284477-638058,Game
869376-641054,Phone
590324-447021,TV
917015-445094,TV
993232-693052,Game
562045-676008,Phone
093516-535074,Phone
803360-315110,Game
517509-134096,Tablet
109281-324093,Phone
453033-389013,Other
807059-619055,Tablet
371211-661066,Computer
489199-549073,Computer
325325-157090,Computer
409284-518067,Tablet
859295-492061,TV
611023-745110,Game
418331-232061,Tablet
354000-370063,Phone
204241-609076,Other
240007-562018,Phone
163329-235065,Phone
323334-438014,Computer
886204-278035,Tablet
095196-444023,Game
187253-528068,TV
450272-595050,Other
601326-370093,Other
459228-541087,Game
757147-214052,Other
739290-360056,Other
085309-634008,Phone
580017-596053,Computer
387096-652053,Phone
123234-354103,Game
293484-307047,Other
972303-700027,Other
390518-496029,Phone
532165-398087,TV
613222-291038,Other
978494-286105,TV
744241-135045,Game
530438-740020,Game
599333-751057,Computer
954322-683033,Tablet
074425-114002,Game
963070-129067,Game
419380-263067,TV
772532-353020,Computer
821215-530046,Tablet
313405-189014,Tablet
518052-394042,Other
559035-740110,Tablet
317262-704039,TV
120287-147056,Tablet
300055-149073,Game
479069-536062,Other
644419-641083,TV
870065-279055,Game
826254-350021,Phone
724538-750027,Game
412356-618033,Computer
497073-219017,TV
499456-200106,Other
608534-690050,Computer
209409-323038,Game
160291-143006,Phone
772194-168085,Tablet
170354-542073,Tablet
721204-350063,Other
677055-177017,Game
079544-431076,Other
564364-597060,Other
614526-755068,TV
099391-136031,Tablet
828242-725062,Tablet
534042-189049,TV
406021-222047,Computer
439438-260100,Other
496264-381029,Tablet
823471-776011,Computer
771276-679093,Game
331361-196038,Phone
883330-452033,Other
114533-288049,Computer
916051-447101,Tablet
977176-395029,Game
667067-347066,Tablet
243052-137021,Game
423194-700031,Tablet
586018-231087,Other
592020-512081,Tablet
912154-194034,Computer
874328-207095,Computer
666545-175062,TV
278452-357004,TV
970214-124099,Tablet
202345-196039,Tablet
359416-682043,Other
432145-182030,Game
780134-270063,Computer
984547-316065,TV
380172-200027,Tablet
154242-759086,Other
715494-139019,Game
952545-349055,Computer
792511-648093,TV
177277-245020,Other
850404-397082,Phone
784474-390021,Computer
138479-189103,Game
884416-726093,Phone
676213-193037,Other
272424-559103,Other
616424-625028,Tablet
610428-616092,Other
412466-370064,TV
798047-145088,Phone
179169-747062,Phone
418225-740075,Game
527165-415018,Tablet
627068-629018,Other
718213-414003,Game
510331-638095,Tablet
826086-123052,Game
086411-572050,Phone
534435-502066,Tablet
832089-152027,Tablet
497341-523101,Computer
266202-559070,Tablet
398076-157072,Tablet
155129-196046,Tablet
547149-683093,Game
759409-404006,TV
677020-228082,Game
370109-739029,Computer
944043-599067,TV
412213-698083,TV
085201-157090,Tablet
591197-713026,Game
769124-166067,Phone
723360-224102,Other
421217-745048,Game
352158-343071,Other
790404-390093,Other
744155-587086,Other
949159-613074,Other
828094-263034,Computer
625122-727040,Computer
262159-629104,Phone
094430-734018,Tablet
534298-372096,Computer
202168-189070,Computer
570235-272093,Other
635360-667023,Computer
899535-647047,Tablet
943021-738001,Tablet
216533-139045,Tablet
151448-618084,Tablet
095354-360095,Other
746449-444031,Game
631433-730099,Computer
618434-773078,Computer
474382-314109,Other
855158-277094,Tablet
411310-536024,Tablet
625122-292040,Phone
572003-466015,TV
280053-318043,TV
817016-707106,TV
303325-647080,Phone
617129-417077,Computer
258490-502081,Phone
697109-188039,Computer
915153-459048,Game
511111-201092,Computer
530108-733102,Tablet
785066-477095,Game
038272-158032,Game
530054-263044,Game
860432-209026,Phone
323351-636019,Computer
470141-419062,TV
731097-353014,TV
555386-448029,Phone
910354-596027,TV
792015-340065,Game
046351-350089,Tablet
787073-215061,Tablet
702169-470053,Tablet
101288-316080,Tablet
829000-361053,Other
414502-328109,Other
516099-474093,Computer
619059-131010,Other
303527-356024,Tablet
493348-698013,Phone
890484-351091,TV
698038-176043,Phone
460283-190058,Computer
331141-269033,Game
654299-613031,Other
006088-345104,Phone
464012-652061,Computer
723119-407093,Computer
142450-558044,Other
006391-735025,Game
090502-555050,Computer
583103-253031,Other
038214-418008,Phone
782344-563018,Phone
003002-191059,TV
287112-478051,Tablet
380289-488031,Tablet
943043-448056,Phone
165438-709054,Phone
590422-368088,Tablet
222428-188003,Tablet
949338-387054,Tablet
846481-244109,Computer
366021-523054,TV
522010-328030,TV
732036-400052,Game
057498-701063,Computer
147323-220098,Computer
652237-578102,Computer
500185-774045,Computer
260030-304043,Tablet
219041-211016,Tablet
486407-420103,TV
570328-731035,Computer
995270-408067,Phone
128542-491098,Tablet
577316-229009,Other
569430-718012,Game
029160-763097,Phone
962392-189085,Other
562293-531054,Computer
548203-574025,Tablet
424404-341072,TV
377019-497098,Game
516405-464009,Phone
981378-724011,TV
715483-604004,Other
399539-739055,Phone
496190-313017,Game
804350-605043,Phone
400400-589067,Game
631200-398073,Phone
422351-127102,Game
024348-317103,Tablet
234414-220082,Game
247057-445024,Other
236353-611025,Phone
097220-399047,Phone
854486-232056,Phone
536403-358084,TV
480375-513104,Phone
604391-512106,Phone
840242-689109,Other
090122-549018,Computer
054197-686069,TV
251263-497021,TV
643512-324080,Computer
547465-166044,Phone
977378-466045,TV
778519-283037,TV
542429-523077,Game
055099-406050,Phone
535007-365069,Phone
299273-503005,Other
359158-595107,Computer
563439-140003,Game
902239-728028,TV
960188-470078,Computer
159040-568045,Other
322012-162067,Other
861496-446086,Tablet
350098-714010,Tablet
983462-474053,TV
206444-202030,Other
093093-610059,TV
612042-741095,Computer
342200-206024,Other
096114-663028,Game
355461-605074,Phone
913093-372009,Game
001504-357071,TV
447003-463086,Phone
950204-482027,Tablet
240505-671049,Other
637281-518011,Computer
169460-668059,Computer
370494-396091,Game
209014-450019,Tablet
196350-706091,TV
329136-539029,Computer
071383-272024,Tablet
024401-611007,Computer
091211-367085,TV
860073-326087,Other
451095-134002,Computer
040504-627068,TV
129492-379082,Tablet
260507-730009,Tablet
851212-603047,Game
992195-211103,TV
259215-656008,Tablet
986281-487043,Game
735227-130110,Phone
632010-573046,Game
261347-528067,TV
111264-500090,TV
081300-137017,Phone
443228-264088,Game
378508-695057,Computer
463378-583073,Phone
272392-691087,TV
642247-227076,Phone
462391-126092,TV
739476-277001,Phone
827416-686057,Game
275531-212018,Phone
157269-463072,Other
495515-274089,Tablet
656323-638037,Phone
282318-242093,TV
224202-129028,TV
544039-464079,Phone
430025-295099,TV
019243-313084,Computer
228414-180083,Phone
804522-511087,Phone
495527-390056,Computer
048487-280064,Game
931020-278096,Other
369461-598066,Game
109202-548026,Phone
188436-282101,Game
749128-546062,Game
194399-519064,Computer
955253-158027,Phone
081492-606061,Other
468152-396100,Other
793221-689075,TV
065064-417021,Computer
671124-672094,Computer
199050-657076,Tablet
253036-262007,Other
704286-564079,Tablet
796155-270107,TV
477279-278045,Game
995299-497000,Phone
737390-281110,Phone
681415-521057,Game
907361-360065,Tablet
779174-458086,Game
454191-566049,Tablet
827526-548019,TV
255388-488088,Other
740530-464055,Game
244322-299078,Tablet
605504-438092,Game
707444-543053,Tablet
502174-220046,Game
245449-310107,TV
442435-537096,Computer
717272-377017,Other
110162-322108,Computer
522248-634027,Game
145228-411053,Other
189410-419079,Other
622101-478104,Tablet
181019-263107,Other
868326-420052,Game
444336-404073,Other
422379-540104,TV
785278-724089,Other
927100-249083,Phone
897440-487107,Tablet
456549-380048,Tablet
864518-722062,TV
406126-323054,TV
793323-140050,Game
621163-710064,Other
957465-587094,Game
094369-121012,Tablet
858443-324062,Other
117228-422058,Tablet
257288-349043,Phone
441062-238077,TV
059084-547040,TV
619105-180010,Other
140261-410018,Tablet
798208-550110,Tablet
055308-317061,TV
104455-616084,Game
179002-203105,Game
409296-146100,Tablet
223108-439030,Phone
540473-476058,Game
195402-246101,Game
273004-574036,Phone
097071-731109,Phone
036440-688070,Tablet
002026-497097,TV
423050-496008,Tablet
616337-655044,Tablet
353343-205006,TV
035465-458095,Phone
234073-446059,Tablet
754514-124029,Tablet
431324-192068,Computer
302238-216017,Game
432195-547034,Phone
275127-637048,Other
276483-404088,Game
067032-528032,Other
027365-747060,Game
912480-723043,TV
361529-208027,Phone
574117-443003,Tablet
394268-474044,Other
311297-460053,Tablet
209234-658061,Tablet
341292-350053,Game
507134-685054,Tablet
431407-488003,Phone
116237-511023,TV
615007-231037,Phone
894142-238035,TV
653016-217095,Tablet
060097-118053,Other
705385-248018,Game
645309-578070,Other
149441-496094,Computer
861142-278075,Computer
887310-584041,Other
771526-533074,Phone
906395-111019,Game
235170-298101,Computer
708363-400083,Phone
060001-620094,Computer
181156-141091,TV
681142-697104,Game
866120-500074,Tablet
151077-286102,Other
731479-514055,Game
284308-738058,TV
911126-216103,Computer
827026-385019,TV
144525-479012,Other
441202-158023,Tablet
255111-200047,Phone
497522-120046,TV
303205-635029,TV
719327-622042,Computer
339366-162098,Other
997107-254082,Game
266364-228075,Phone
688286-532079,Computer
438488-446029,Tablet
241529-756076,TV
276267-232008,Other
951049-525065,Tablet
798037-615026,TV
347456-276105,Phone
313132-202096,Other
570114-420007,Game
869338-398025,TV
277039-245009,TV
904188-583072,Other
597512-344073,Phone
608327-122066,Computer
336524-181083,Phone
238317-729015,Game
278326-520108,Other
693022-740060,TV
434237-631034,TV
613183-120028,TV
460204-540055,TV
128164-589014,Other
866275-371002,Tablet
081236-616062,Phone
806333-464046,TV
427230-281062,Other
011512-547053,Other
268299-331058,Other
334243-384013,Phone
673315-257014,TV
025513-766011,TV
449358-761034,Game
515395-636033,Tablet
704127-401080,Game
147449-702047,TV
132530-339034,Game
743302-556069,Game
986346-621075,Game
512540-619093,Phone
185389-507000,Phone
333124-751044,Computer
963388-380027,Tablet
080450-510030,TV
134040-409063,TV
154098-290058,Game
695081-522011,Computer
542417-284071,Game
016341-233110,Tablet
622221-469001,Game
830207-159042,TV
811481-682092,Phone
107182-216078,Game
991214-726081,Tablet
410493-771013,Computer
128414-698046,Tablet
556318-702025,TV
535165-761065,Phone
994526-311037,Game
632419-229039,Computer
916163-192001,Phone
461535-207075,Computer
637326-621023,TV
143314-174056,Game
837402-767044,Tablet
462142-370067,Computer
987500-690018,Tablet
863337-276012,Other
075012-775054,Computer
233195-298060,TV
086370-248098,Computer
