customer_id,link,link_type,link_date
211,7373,Friend,2019-08-16
211,5769,Friend,2018-10-24
211,3057,Other,2015-04-15
211,9830,Friend,2016-06-10
212,5426,Group,2020-07-20
212,9612,Family,2018-04-17
212,1656,Other,2016-01-07
213,7717,Neighbor,2016-04-13
213,6483,Friend,2017-03-19
213,4637,Other,2017-02-03
213,9855,Co-Worker,2017-10-31
214,1028,Family,2017-05-19
214,228,Friend,2018-03-02
214,2683,Group,2020-11-17
214,1630,Group,2017-07-25
215,5182,Co-Worker,2019-09-22
215,5144,Neighbor,2015-04-23
216,5182,Co-Worker,2019-09-22
216,5144,Neighbor,2015-04-23
217,6759,Neighbor,2016-06-20
217,2590,Family,2018-02-25
218,7223,Group,2016-04-13
219,5316,Co-Worker,2018-01-31
219,9561,Neighbor,2017-04-11
219,1260,Friend,2018-04-18
219,1631,Group,2016-01-03
221,8094,Family,2016-12-02
221,5513,Group,2015-02-11
221,5484,Family,2015-12-16
222,8327,Neighbor,2016-04-04
222,9475,Friend,2017-01-07
222,7863,Other,2016-11-26
223,7449,Co-Worker,2017-12-23
224,6941,Group,2015-01-25
224,6755,Friend,2020-04-11
225,6941,Group,2015-01-25
225,6755,Friend,2020-04-11
226,7729,Other,2017-05-21
226,2093,Co-Worker,2017-04-27
228,3348,Family,2020-11-10
228,625,Neighbor,2017-10-14
229,9251,Neighbor,2017-08-18
229,4834,Friend,2015-10-03
229,5603,Neighbor,2015-07-09
229,1318,Family,2020-07-06
230,6893,Group,2019-01-08
230,7028,Neighbor,2019-11-20
230,6008,Co-Worker,2017-09-09
230,689,Group,2020-01-17
231,6893,Group,2019-01-08
231,7028,Neighbor,2019-11-20
231,6008,Co-Worker,2017-09-09
231,689,Group,2020-01-17
232,8364,Neighbor,2016-06-26
232,6444,Neighbor,2016-01-14
233,3995,Neighbor,2015-02-20
233,4297,Co-Worker,2018-12-22
235,2113,Neighbor,2015-08-15
236,6740,Friend,2017-08-28
236,3514,Group,2017-10-19
236,3912,Co-Worker,2018-06-03
236,7135,Group,2020-03-08
237,7952,Co-Worker,2020-09-16
237,6785,Group,2016-02-26
237,8086,Group,2016-12-20
238,9650,Family,2018-08-02
238,9422,Friend,2016-10-24
239,7658,Group,2019-10-23
239,5625,Neighbor,2020-03-25
239,2129,Family,2018-04-12
240,1408,Friend,2015-11-20
240,3975,Family,2019-11-21
241,9074,Other,2018-01-20
241,558,Family,2018-04-17
241,6288,Friend,2016-08-13
242,7688,Neighbor,2018-10-05
242,9142,Co-Worker,2018-03-19
242,7796,Group,2020-01-24
242,1724,Group,2017-03-28
243,7688,Neighbor,2018-10-05
243,9142,Co-Worker,2018-03-19
243,7796,Group,2020-01-24
243,1724,Group,2017-03-28
245,9412,Family,2020-06-22
246,8819,Family,2018-06-15
246,807,Family,2015-04-26
246,2045,Neighbor,2018-06-03
246,5586,Family,2017-12-10
248,8088,Friend,2019-11-21
248,7435,Group,2017-01-30
248,2960,Family,2019-12-11
249,4045,Co-Worker,2015-11-17
249,5288,Family,2019-11-26
249,3060,Group,2017-10-22
250,1809,Other,2020-12-24
250,3864,Family,2016-08-26
250,4589,Group,2015-08-19
251,1809,Other,2020-12-24
251,3864,Family,2016-08-26
251,4589,Group,2015-08-19
252,9679,Group,2016-07-27
252,5687,Group,2019-08-12
252,9967,Neighbor,2015-04-08
253,9679,Group,2016-07-27
253,5687,Group,2019-08-12
253,9967,Neighbor,2015-04-08
254,8940,Other,2016-04-19
255,4044,Co-Worker,2017-07-24
256,8606,Neighbor,2018-07-01
256,4867,Friend,2015-01-21
256,3308,Family,2018-12-30
256,7415,Co-Worker,2015-07-16
257,6194,Group,2016-12-21
257,9890,Group,2017-03-09
257,6442,Family,2015-04-21
257,5776,Family,2017-12-17
258,8704,Co-Worker,2017-12-04
258,2744,Group,2018-12-11
258,8186,Friend,2017-02-14
259,5717,Friend,2016-05-18
259,8919,Co-Worker,2016-10-26
259,2200,Group,2016-06-14
260,4886,Group,2020-08-26
261,3623,Group,2018-02-08
261,7938,Neighbor,2019-10-21
261,6756,Group,2019-02-06
261,4616,Friend,2016-11-20
262,9822,Group,2015-09-02
262,8676,Other,2016-11-18
264,3878,Neighbor,2015-10-24
266,7703,Group,2019-08-28
266,9334,Friend,2018-11-04
266,6909,Family,2015-06-07
270,997,Co-Worker,2020-05-19
270,1646,Group,2016-05-09
271,9887,Group,2016-05-30
273,4376,Group,2017-01-03
273,8017,Family,2015-12-14
274,6466,Neighbor,2017-03-28
274,576,Group,2019-02-18
274,204,Family,2015-12-09
274,5782,Group,2016-11-14
275,8485,Family,2020-08-10
275,8892,Family,2020-10-05
276,8432,Friend,2017-02-17
276,2437,Group,2015-05-01
277,7431,Co-Worker,2019-05-14
277,777,Family,2020-03-23
278,5666,Family,2016-07-12
278,5040,Friend,2016-04-12
279,5666,Family,2016-07-12
279,5040,Friend,2016-04-12
280,5632,Family,2019-02-24
280,1122,Family,2015-07-14
280,4483,Friend,2019-10-12
281,5188,Family,2017-04-18
281,8433,Group,2016-02-11
281,6435,Group,2018-03-01
281,1308,Group,2020-05-27
282,663,Co-Worker,2020-04-15
283,663,Co-Worker,2020-04-15
284,5985,Neighbor,2015-03-14
285,9732,Neighbor,2018-12-21
285,7366,Co-Worker,2017-06-29
286,8980,Group,2019-05-07
286,8707,Group,2017-06-26
286,5815,Other,2020-11-10
286,5117,Family,2020-02-13
288,2454,Friend,2018-08-31
288,9812,Other,2016-05-10
288,8016,Other,2020-04-10
288,7171,Friend,2016-08-31
292,7649,Co-Worker,2015-04-01
292,975,Group,2019-11-28
292,7570,Friend,2017-02-07
292,6622,Co-Worker,2020-12-07
293,9154,Co-Worker,2018-11-29
294,3179,Family,2016-02-29
294,4455,Family,2018-05-04
294,4740,Family,2015-01-29
295,7680,Family,2015-10-03
295,2260,Group,2017-01-24
296,7676,Family,2018-04-11
297,8756,Group,2020-06-03
298,225,Friend,2019-08-11
298,2108,Co-Worker,2018-07-13
298,7069,Family,2016-07-01
299,5478,Family,2020-09-29
299,4286,Family,2019-08-22
299,5375,Co-Worker,2015-07-14
300,468,Group,2016-08-22
300,4196,Other,2016-07-16
300,8373,Group,2017-06-18
300,1320,Other,2015-07-18
301,9336,Family,2016-08-10
301,439,Family,2016-10-25
301,5812,Family,2016-07-10
301,1437,Family,2018-06-07
302,6592,Co-Worker,2019-09-08
302,9233,Family,2020-07-03
303,420,Other,2016-02-28
304,6685,Friend,2020-10-10
304,7037,Family,2015-12-05
305,5611,Family,2019-06-18
306,2816,Group,2018-07-31
307,9506,Neighbor,2016-09-23
308,3145,Group,2018-05-27
309,8177,Family,2018-03-31
309,953,Group,2017-12-13
310,8177,Family,2018-03-31
310,953,Group,2017-12-13
311,7826,Neighbor,2019-04-19
311,5459,Co-Worker,2015-08-22
311,1349,Co-Worker,2018-01-29
312,1636,Co-Worker,2019-04-16
312,3841,Family,2018-12-04
312,9939,Friend,2019-11-11
312,4013,Family,2020-04-19
313,1636,Co-Worker,2019-04-16
313,3841,Family,2018-12-04
313,9939,Friend,2019-11-11
313,4013,Family,2020-04-19
314,9853,Neighbor,2020-10-17
315,6209,Friend,2018-08-23
315,1558,Co-Worker,2015-10-28
316,1782,Co-Worker,2019-12-02
317,610,Neighbor,2017-05-04
317,8064,Group,2016-08-19
317,9305,Neighbor,2017-05-01
317,8013,Family,2017-04-14
318,5521,Co-Worker,2016-05-15
318,4028,Family,2016-01-13
318,7330,Neighbor,2019-12-08
318,9699,Co-Worker,2019-05-06
319,5521,Co-Worker,2016-05-15
319,4028,Family,2016-01-13
319,7330,Neighbor,2019-12-08
319,9699,Co-Worker,2019-05-06
320,9577,Neighbor,2020-09-06
323,3742,Co-Worker,2020-03-28
323,2613,Group,2017-06-17
323,7893,Group,2020-05-16
326,3039,Family,2018-07-29
326,1418,Group,2020-11-20
326,7783,Family,2017-01-03
329,1564,Group,2016-06-15
330,2957,Family,2017-05-10
330,2630,Family,2015-12-04
330,9915,Group,2020-11-08
331,5241,Family,2020-08-22
331,2584,Family,2020-10-17
331,6252,Co-Worker,2018-01-24
331,6453,Group,2017-02-17
332,1110,Co-Worker,2017-11-17
332,7201,Friend,2017-11-12
333,8218,Group,2017-12-10
333,9547,Friend,2020-12-15
333,1572,Group,2018-08-22
334,2346,Co-Worker,2017-10-26
334,3721,Group,2018-08-15
334,3312,Family,2015-02-12
335,4558,Family,2019-03-23
335,129,Group,2017-05-23
336,895,Co-Worker,2015-05-10
336,817,Group,2020-02-18
336,9700,Family,2017-06-17
336,8228,Group,2016-06-07
337,5289,Co-Worker,2020-01-29
337,1052,Family,2016-07-17
338,8708,Family,2019-08-23
338,5629,Co-Worker,2016-09-04
339,8708,Family,2019-08-23
339,5629,Co-Worker,2016-09-04
342,9151,Group,2019-10-02
342,3464,Other,2018-05-03
343,3026,Group,2017-07-19
343,2543,Friend,2015-02-11
343,8447,Family,2019-05-30
343,1946,Other,2015-01-12
346,4882,Family,2017-10-27
347,6938,Neighbor,2015-01-31
347,8911,Other,2020-04-08
347,6820,Group,2015-08-06
347,2088,Other,2015-09-08
349,1932,Neighbor,2020-02-28
349,7536,Group,2020-03-10
349,4836,Group,2015-04-17
350,1907,Group,2020-04-03
350,856,Neighbor,2016-12-23
350,9023,Family,2020-02-11
351,1070,Co-Worker,2020-10-21
351,949,Co-Worker,2019-09-18
352,5614,Family,2017-01-03
352,6831,Friend,2019-06-24
352,7520,Co-Worker,2019-05-08
354,8425,Family,2015-05-15
354,2340,Neighbor,2015-02-08
355,6798,Family,2020-12-30
355,2656,Co-Worker,2018-11-17
356,9310,Family,2016-10-26
357,7400,Family,2019-11-28
357,3434,Neighbor,2018-06-25
358,6130,Other,2017-10-23
358,398,Friend,2018-05-16
358,5066,Friend,2017-01-28
358,4129,Family,2015-06-23
360,6258,Co-Worker,2020-12-14
360,5937,Family,2015-12-19
360,9418,Group,2016-11-14
361,6777,Group,2015-02-25
362,6777,Group,2015-02-25
363,6165,Neighbor,2017-08-28
364,532,Group,2017-09-17
366,3676,Friend,2016-04-18
366,5812,Family,2015-11-21
367,2152,Other,2019-11-26
367,7186,Group,2020-03-17
370,3403,Family,2015-02-27
370,3781,Other,2015-09-25
370,1794,Co-Worker,2017-10-31
370,5578,Group,2019-08-22
372,3487,Other,2020-09-29
373,9217,Group,2020-04-17
373,6445,Family,2015-11-02
373,9337,Family,2018-02-19
373,8714,Group,2017-04-27
374,1281,Family,2019-10-29
374,4727,Other,2017-03-27
374,668,Other,2016-12-27
374,5531,Other,2017-07-31
375,1281,Family,2019-10-29
375,4727,Other,2017-03-27
375,668,Other,2016-12-27
375,5531,Other,2017-07-31
381,7098,Family,2015-04-13
381,7717,Family,2015-11-03
381,379,Family,2020-11-21
381,8583,Group,2016-12-02
382,7098,Family,2015-04-13
382,7717,Family,2015-11-03
382,379,Family,2020-11-21
382,8583,Group,2016-12-02
383,4047,Friend,2018-06-20
384,3095,Co-Worker,2020-01-26
384,7223,Family,2016-10-02
384,6097,Group,2018-06-19
384,4402,Family,2016-06-04
385,7398,Friend,2015-04-19
385,3148,Family,2016-12-17
385,7700,Family,2020-01-28
385,9417,Group,2019-02-07
386,5213,Friend,2017-06-15
386,7415,Family,2018-04-09
386,6765,Group,2020-07-01
386,4114,Other,2016-06-13
387,5398,Friend,2019-07-02
388,6875,Group,2017-02-01
389,6875,Group,2017-02-01
390,7969,Family,2016-08-15
390,5295,Other,2020-11-25
390,2101,Other,2020-02-25
390,823,Family,2018-03-16
391,2585,Co-Worker,2019-02-01
391,889,Other,2015-10-05
391,3708,Group,2020-12-09
391,9507,Co-Worker,2016-10-24
392,2585,Co-Worker,2019-02-01
392,889,Other,2015-10-05
392,3708,Group,2020-12-09
392,9507,Co-Worker,2016-10-24
393,1608,Friend,2017-04-03
393,2861,Other,2017-06-11
394,5285,Co-Worker,2017-01-24
394,6648,Neighbor,2019-12-21
395,5285,Co-Worker,2017-01-24
395,6648,Neighbor,2019-12-21
399,1994,Friend,2020-11-20
400,6576,Co-Worker,2016-01-15
401,2078,Friend,2017-06-17
401,1305,Family,2020-05-05
401,628,Co-Worker,2016-08-22
402,8885,Family,2016-08-01
402,7432,Family,2018-07-27
402,3201,Family,2017-07-12
403,4492,Family,2016-02-29
404,9522,Group,2016-06-19
404,8089,Neighbor,2016-07-13
405,3788,Family,2018-06-01
405,6063,Co-Worker,2018-11-18
406,3788,Family,2018-06-01
406,6063,Co-Worker,2018-11-18
407,5823,Neighbor,2019-05-08
408,2464,Family,2016-07-13
409,2464,Family,2016-07-13
411,1311,Group,2015-04-04
412,9220,Group,2015-10-25
412,6370,Family,2020-03-31
412,228,Other,2017-09-24
412,1168,Neighbor,2017-01-21
413,279,Other,2020-10-06
413,9311,Friend,2020-08-22
413,2031,Group,2016-10-10
414,7710,Family,2015-02-01
414,7754,Other,2019-10-25
417,5375,Family,2015-05-22
417,370,Group,2017-12-31
417,1300,Friend,2020-11-22
417,1478,Friend,2018-02-27
418,9106,Group,2019-02-06
418,450,Co-Worker,2019-07-07
419,8326,Group,2019-06-12
421,3963,Family,2016-06-08
423,5709,Group,2019-08-08
423,4246,Group,2017-06-12
424,5709,Group,2019-08-08
424,4246,Group,2017-06-12
425,2260,Neighbor,2016-03-21
425,5018,Group,2018-04-12
425,894,Family,2017-12-03
425,8644,Family,2020-10-02
426,8295,Other,2019-06-11
427,8874,Other,2015-10-07
429,1283,Other,2020-12-16
429,8528,Family,2016-12-16
429,3710,Other,2015-08-16
429,8200,Neighbor,2020-04-30
430,8807,Other,2020-04-21
432,3660,Group,2017-01-10
433,5548,Group,2017-03-07
434,5370,Co-Worker,2019-03-12
434,3090,Family,2015-06-09
434,9377,Group,2020-02-24
434,8821,Group,2018-12-28
435,6708,Group,2019-03-22
435,385,Family,2018-05-07
436,5699,Neighbor,2018-05-14
436,5168,Family,2017-04-21
436,4623,Neighbor,2020-03-11
437,3434,Neighbor,2019-09-07
