ua_id,user_agent,browser,browser_ver,device,device_os,device_osver,device_type,device_brand,device_model
247,Mozilla/5.0 (Linux; Android 10; LYA-L09 Build/HUAWEILYA-L09; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 GSA/11.40.12.23.arm64,Google,11-40-12,LYA-L09,Android,10-None-None,Tablet,Huawei,LYA-L09
248,Mozilla/5.0 (Linux; Android 10; SM-A307FN Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 GSA/11.41.10.23.arm64,Google,11-41-10,Samsung SM-A307FN,Android,10-None-None,Tablet,Samsung,SM-A307FN
249,Mozilla/5.0 (Linux; Android 9; Moto Z3 Play Build/PPWS29.131-27-1-27; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 Instagram 169.1.0.29.135 Android (28/9; 480dpi; 1080x2016; motorola; Moto Z3 Play; beckham; qcom; pt_BR; 262886995),Instagram,169-1-0,Moto Z3 Play,Android,9-None-None,Tablet,Motorola,Z3Play
250,Mozilla/5.0 (Linux; Android 11; SM-G986U) AppleWebKit/537.36 (KHTML like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.11.4.5118,Edge Mobile,45-11-4,Samsung SM-G986U,Android,11-None-None,Tablet,Samsung,SM-G986U
251,Mozilla/5.0 (iPhone; CPU iPhone OS 14_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML like Gecko) Mobile/15E148 Instagram 169.0.0.21.133 (iPhone93; iOS 14_2; pt_BR; pt-BR; scale=2.00; 750x1334; 261791898) NW/1,Instagram,169-0-0,iPhone,iOS,14-2-None,Phone,Apple,iPhone93
252,Mozilla/5.0 (iPhone; CPU iPhone OS 14_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML like Gecko) Version/12.0 Mobile/18B92 Safari/604.1,Mobile Safari,12-0-None,iPhone,iOS,14-2-None,Phone,Apple,iPhone
253,Mozilla/5.0 (Linux; Android 10; SM-G965F Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 GoogleApp/11.40.12.23.arm64,Chrome Mobile WebView,87-0-4280,Samsung SM-G965F,Android,10-None-None,Tablet,Samsung,SM-G965F
254,Mozilla/5.0 (Linux; Android 9; SM-A107M Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/299.0.0.51.236;],Facebook,299-0-0,Samsung SM-A107M,Android,9-None-None,Tablet,Samsung,SM-A107M
255,Mozilla/5.0 (Linux; Android 6.0.1; SM-J500H Build/MMB29M; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/80.0.3987.99 Mobile Safari/537.36 GSA/10.96.12.21.arm,Google,10-96-12,Samsung SM-J500H,Android,6-0-1,Tablet,Samsung,SM-J500H
256,Mozilla/5.0 (Linux; Android 10; SM-G975F Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 GSA/11.41.10.23.arm64,Google,11-41-10,Samsung SM-G975F,Android,10-None-None,Tablet,Samsung,SM-G975F
257,Mozilla/5.0 (Linux; Android 11; SM-G980F Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 GSA/11.41.10.23.arm64,Google,11-41-10,Samsung SM-G980F,Android,11-None-None,Tablet,Samsung,SM-G980F
258,Mozilla/5.0 (Linux; Android 7.1.1; LG-M700 Build/NMF26X; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 Instagram 169.1.0.29.135 Android (25/7.1.1; 480dpi; 1080x2004; LGE/lge; LG-M700; mh; mh; pt_BR; 262886988),Instagram,169-1-0,LG-M700,Android,7/1/01,Tablet,LG,M700
259,Mozilla/5.0 (Linux; Android 8.0.0; SM-G965F Build/R16NW) AppleWebKit/537.36 (KHTML like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36,Chrome Mobile,87-0-4280,Samsung SM-G965F,Android,8-0-0,Tablet,Samsung,SM-G965F
260,Mozilla/5.0 (Windows NT 10.0.18362; Win64; x64) AppleWebKit/537.36 (KHTML like Gecko) Slack/4.12.0 Chrome/87.0.4280.67 Electron/11.0.3 Safari/537.36 Sonic Slack_SSB/4.12.0,Slack Desktop Client,4/12/00,Other,Windows,10-None-None,Computer,None,None
261,Mozilla/5.0 (Linux; Android 7.1.2; LM-X410.F Build/N2G47H; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 Instagram 169.1.0.29.135 Android (25/7.1.2; 320dpi; 720x1193; LGE/lge; LM-X410.F; mcv3; mcv3; pt_BR; 262886987),Instagram,169-1-0,LM-X410.F,Android,7/1/02,Tablet,Generic_Android,LM-X410.F
262,Mozilla/5.0 (Linux; Android 10; SM-J610F Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36,Chrome Mobile WebView,87-0-4280,Samsung SM-J610F,Android,10-None-None,Tablet,Samsung,SM-J610F
263,Mozilla/5.0 (Linux; Android 10; SM-A716U Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36,Chrome Mobile WebView,87-0-4280,Samsung SM-A716U,Android,10-None-None,Tablet,Samsung,SM-A716U
264,Mozilla/5.0 (Linux; Android 10; motorola one action Build/QSBS30.62-17-15; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36[FBAN/EMA;FBLC/pt_BR;FBAV/229.0.0.8.128;],Facebook,229-0-0,motorola one action,Android,10-None-None,Tablet,Generic_Android,motorolaoneaction
265,Mozilla/5.0 (Linux; Android 8.0.0; SM-A520F Build/R16NW; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 GoogleApp/11.41.10.23.arm64,Chrome Mobile WebView,87-0-4280,Samsung SM-A520F,Android,8-0-0,Tablet,Samsung,SM-A520F
266,Mozilla/5.0 (Linux; Android 10; SM-A716U Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 GSA/11.40.12.23.arm64,Google,11-40-12,Samsung SM-A716U,Android,10-None-None,Tablet,Samsung,SM-A716U
267,Mozilla/5.0 (Linux; Android 10; Redmi Note 8T Build/QKQ1.200114.002; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 GSA/11.41.10.23.arm64,Google,11-41-10,XiaoMi Redmi Note 8T,Android,10-None-None,Tablet,XiaoMi,RedmiNote8T
268,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML like Gecko) Mobile/15E148 Instagram 169.0.0.21.133 (iPhone94; iOS 14_0; pt_BR; pt-BR; scale=2.61; 1080x1920; 261791898),Instagram,169-0-0,iPhone,iOS,14-0-None,Phone,Apple,iPhone94
269,Mozilla/5.0 (Linux; Android 10; SM-J600GT Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 Instagram 169.1.0.29.135 Android (29/10; 320dpi; 720x1384; samsung; SM-J600GT; j6lte; samsungexynos7870; pt_BR; 262886987),Instagram,169-1-0,Samsung SM-J600GT,Android,10-None-None,Tablet,Samsung,SM-J600GT
270,Mozilla/5.0 (Linux; Android 11; M2002J9G) AppleWebKit/537.36 (KHTML like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36,Chrome Mobile,87-0-4280,M2002J9G,Android,11-None-None,Tablet,Generic_Android,M2002J9G
271,Mozilla/5.0 (Linux; Android 9; moto g(8) play Build/PMDS29.70-85-3; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 Instagram 169.0.0.28.135 Android (28/9; 280dpi; 720x1409; motorola; moto g(8) play; lima; mt6771; pt_BR; 262372425),Instagram,169-0-0,moto g(8) play,Android,9-None-None,Tablet,Generic_Android,motog(8)play
272,Mozilla/5.0 (Linux; Android 10; Nokia 7.1 Build/QKQ1.190828.002; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 GSA/11.41.10.23.arm64,Google,11-41-10,Nokia 7.1,Android,10-None-None,Tablet,Nokia,7.1
273,Mozilla/5.0 (Linux; Android 9; moto g(6) Build/PPSS29.55-37-7-10; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 GSA/11.41.10.23.arm,Google,11-41-10,moto g(6),Android,9-None-None,Tablet,Generic_Android,motog(6)
274,Mozilla/5.0 (Linux; Android 10; SM-A305GT Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 Instagram 169.1.0.29.135 Android (29/10; 420dpi; 1080x2131; samsung; SM-A305GT; a30; exynos7904; pt_BR; 262886995),Instagram,169-1-0,Samsung SM-A305GT,Android,10-None-None,Tablet,Samsung,SM-A305GT
275,Mozilla/5.0 (Linux; Android 10; SM-J810Y Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 GSA/11.41.10.23.arm,Google,11-41-10,Samsung SM-J810Y,Android,10-None-None,Tablet,Samsung,SM-J810Y
276,Mozilla/5.0 (Linux; Android 9; moto e6 play Build/POAS29.550-81-1-1; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/299.0.0.51.236;],Facebook,299-0-0,moto e6 play,Android,9-None-None,Tablet,Generic_Android,motoe6play
277,Mozilla/5.0 (iPhone; CPU iPhone OS 14_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML like Gecko) Mobile/15E148 Instagram 169.0.0.21.133 (iPhone81; iOS 14_3; pt_BR; pt; scale=2.00; 750x1334; 261791898),Instagram,169-0-0,iPhone,iOS,14-3-None,Phone,Apple,iPhone81
278,Mozilla/5.0 (Linux; Android 10; SM-N975F Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 Instagram 168.0.0.40.355 Android (29/10; 280dpi; 720x1437; samsung; SM-N975F; d2s; exynos9825; pt_BR; 261079769),Instagram,168-0-0,Samsung SM-N975F,Android,10-None-None,Tablet,Samsung,SM-N975F
279,Mozilla/5.0 (Linux; Android 10; CPH1933 Build/QKQ1.200209.002; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 GSA/11.40.12.23.arm64,Google,11-40-12,CPH1933,Android,10-None-None,Tablet,Generic_Android,CPH1933
280,Mozilla/5.0 (Linux; Android 10; motorola one hyper Build/QPFS30.103-43-12; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 Instagram 169.1.0.29.135 Android (29/10; 420dpi; 1080x2256; motorola; motorola one hyper; def; qcom; pt_BR; 262886995),Instagram,169-1-0,motorola one hyper,Android,10-None-None,Tablet,Generic_Android,motorolaonehyper
281,Mozilla/5.0 (Linux; Android 9; SM-G955F Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 Instagram 169.1.0.29.135 Android (28/9; 420dpi; 1080x2094; samsung; SM-G955F; dream2lte; samsungexynos8895; pt_BR; 262886995),Instagram,169-1-0,Samsung SM-G955F,Android,9-None-None,Tablet,Samsung,SM-G955F
282,Mozilla/5.0 (Linux; Android 9; SM-J530G Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 Instagram 169.1.0.29.135 Android (28/9; 320dpi; 720x1280; samsung; SM-J530G; j5y17lte; samsungexynos7870; pt_BR; 262886987),Instagram,169-1-0,Samsung SM-J530G,Android,9-None-None,Tablet,Samsung,SM-J530G
283,Mozilla/5.0 (Linux; Android 7.0; SM-A510F Build/NRD90M; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 GSA/11.40.12.23.arm,Google,11-40-12,Samsung SM-A510F,Android,7-0-None,Tablet,Samsung,SM-A510F
284,Mozilla/5.0 (Linux; Android 10; moto g(7) Build/QPUS30.52-33-7; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/300.0.0.44.129;],Facebook,300-0-0,moto g(7),Android,10-None-None,Tablet,Generic_Android,motog(7)
285,Mozilla/5.0 (Linux; Android 7.0; F3111 Build/33.3.A.1.126; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/85.0.4183.81 Mobile Safari/537.36 GSA/11.25.11.21.arm64,Google,11/25/11,F3111,Android,7-0-None,Tablet,Generic_Android,F3111
286,Mozilla/5.0 (Linux; Android 10; SM-A305F Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/81.0.4044.138 Mobile Safari/537.36 GSA/10.97.8.21.arm64,Google,10-97-8,Samsung SM-A305F,Android,10-None-None,Tablet,Samsung,SM-A305F
287,Mozilla/5.0 (Linux; Android 6.0.1; SM-G600F) AppleWebKit/537.36 (KHTML like Gecko) Chrome/87.0.4280.101 Mobile Safari/537.36,Chrome Mobile,87-0-4280,Samsung SM-G600F,Android,6-0-1,Tablet,Samsung,SM-G600F
288,Mozilla/5.0 (Linux; Android 9; SM-A105F Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 GSA/11.41.10.23.arm,Google,11-41-10,Samsung SM-A105F,Android,9-None-None,Tablet,Samsung,SM-A105F
289,Mozilla/5.0 (Linux; Android 10; motorola one vision Build/QSAS30.62-24-15; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 Instagram 169.0.0.28.135 Android (29/10; 480dpi; 1080x2266; motorola; motorola one vision; kane_sprout; exynos9610; pt_BR; 262372432),Instagram,169-0-0,motorola one vision,Android,10-None-None,Tablet,Generic_Android,motorolaonevision
290,Mozilla/5.0 (Linux; Android 10; SM-A115F Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 GSA/11.41.10.23.arm,Google,11-41-10,Samsung SM-A115F,Android,10-None-None,Tablet,Samsung,SM-A115F
291,Mozilla/5.0 (Linux; Android 10; SM-M315F Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/86.0.4240.198 Mobile Safari/537.36 Instagram 169.1.0.29.135 Android (29/10; 420dpi; 1080x2131; samsung; SM-M315F; m31; exynos9611; pt_BR; 262886995),Instagram,169-1-0,Samsung SM-M315F,Android,10-None-None,Tablet,Samsung,SM-M315F
292,Mozilla/5.0 (Linux; Android 10; MAR-LX1A Build/HUAWEIMAR-L01A; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 GSA/11.41.10.23.arm64,Google,11-41-10,MAR-LX1A,Android,10-None-None,Tablet,Huawei,MAR-LX1A
293,Mozilla/5.0 (Linux; Android 9; LM-K410 Build/PKQ1.190522.001; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/84.0.4147.125 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/278.0.0.51.119;],Facebook,278-0-0,LM-K410,Android,9-None-None,Tablet,Generic_Android,LM-K410
294,Mozilla/5.0 (Linux; Android 7.0; SAMSUNG-SM-G890A Build/NRD90M; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/76.0.3809.132 Mobile Safari/537.36 GSA/10.33.5.21.arm64,Google,10-33-5,Samsung SM-G890A,Android,7-0-None,Tablet,Samsung,SM-G890A
295,Mozilla/5.0 (Linux; arm; Android 8.1.0; SM-G610F) AppleWebKit/537.36 (KHTML like Gecko) Chrome/84.0.4147.135 YaBrowser/20.8.5.97.00 Mobile Safari/537.36,Yandex Browser,20-8-5,Samsung SM-G610F,Android,8/1/00,Tablet,Samsung,SM-G610F
296,Mozilla/5.0 (Linux; Android 10; CPH2061 Build/QKQ1.200114.002; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/84.0.4147.125 Mobile Safari/537.36 GSA/11.25.11.21.arm64,Google,11/25/11,CPH2061,Android,10-None-None,Tablet,Generic_Android,CPH2061
297,Mozilla/5.0 (Linux; Android 9; ASUS_X00TDB Build/PKQ1; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/300.0.0.51.129;],Facebook,300-0-0,Asus X00TDB,Android,9-None-None,Tablet,Asus,X00TDB
298,Mozilla/5.0 (Linux; Android 8.1.0; SM-G610M Build/M1AJQ; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 Instagram 168.0.0.40.355 Android (27/8.1.0; 420dpi; 1080x1920; samsung; SM-G610M; on7xelte; samsungexynos7870; pt_BR; 261079762),Instagram,168-0-0,Samsung SM-G610M,Android,8/1/00,Tablet,Samsung,SM-G610M
299,Mozilla/5.0 (Linux; Android 10; JNY-LX2; HMSCore 5.0.5.300; GMSCore 20.09.14) AppleWebKit/537.36 (KHTML like Gecko) Chrome/83.0.4103.106 HuaweiBrowser/11.0.4.302 Mobile Safari/537.36,Chrome,83-0-4103,Huawei Browser,Android,10-None-None,Tablet,Huawei,Browser
300,Mozilla/5.0 (Linux; Android 6.0.1; D6543 Build/23.5.A.1.291; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/299.0.0.51.236;],Facebook,299-0-0,D6543,Android,6-0-1,Tablet,Sony,D6543
301,Mozilla/5.0 (Linux; Android 10; SM-M305M Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 GSA/11.40.13.23.arm64,Google,11-40-13,Samsung SM-M305M,Android,10-None-None,Tablet,Samsung,SM-M305M
302,Mozilla/5.0 (Linux; Android 9; LM-G710 Build/PKQ1.181105.001; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 Instagram 169.1.0.29.135 Android (28/9; 560dpi; 1440x2858; LGE/lge; LM-G710; judyln; judyln; pt_BR; 262886996),Instagram,169-1-0,LM-G710,Android,9-None-None,Tablet,Generic_Android,LM-G710
303,Mozilla/5.0 (Linux; Android 10; motorola one vision Build/QSAS30.62-24-15; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 Instagram 168.0.0.40.355 Android (29/10; 480dpi; 1080x2266; motorola; motorola one vision; kane_sprout; exynos9610; pt_BR; 261079769),Instagram,168-0-0,motorola one vision,Android,10-None-None,Tablet,Generic_Android,motorolaonevision
304,Mozilla/5.0 (Linux; Android 9; moto e6s Build/POB29.288-60-6; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 Instagram 169.1.0.29.135 Android (28/9; 306dpi; 720x1416; motorola; moto e6s; fiji; mt6765; pt_BR; 262886987),Instagram,169-1-0,moto e6s,Android,9-None-None,Tablet,Generic_Android,motoe6s
305,Mozilla/5.0 (Linux; Android 10; SM-G973F Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 Instagram 168.0.0.40.355 Android (29/10; 560dpi; 1440x2723; samsung; SM-G973F; beyond1; exynos9820; pt_BR; 261079769),Instagram,168-0-0,Samsung SM-G973F,Android,10-None-None,Tablet,Samsung,SM-G973F
306,Mozilla/5.0 (Linux; Android 8.1.0; SM-J410G Build/M1AJB; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/86.0.4240.198 Mobile Safari/537.36 Instagram 168.0.0.40.355 Android (27/8.1.0; 320dpi; 720x1384; samsung; SM-J410G; j4corelte; qcom; pt_BR; 261079761),Instagram,168-0-0,Samsung SM-J410G,Android,8/1/00,Tablet,Samsung,SM-J410G
307,Mozilla/5.0 (Linux; Android 9; JAT-L41 Build/HUAWEIJAT-L41; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 GSA/11.41.10.23.arm,Google,11-41-10,JAT-L41,Android,9-None-None,Tablet,Huawei,JAT-L41
308,Mozilla/5.0 (Linux; Android 9; SM-A530F Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 Instagram 169.1.0.29.135 Android (28/9; 480dpi; 1080x2076; samsung; SM-A530F; jackpotlte; samsungexynos7885; pt_BR; 262886995),Instagram,169-1-0,Samsung SM-A530F,Android,9-None-None,Tablet,Samsung,SM-A530F
309,Mozilla/5.0 (iPhone; CPU iPhone OS 13_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML like Gecko) Mobile/15E148 [FBAN/FBIOS;FBDV/iPhone81;FBMD/iPhone;FBSN/iOS;FBSV/13.7;FBSS/2;FBID/phone;FBLC/es_LA;FBOP/5],Facebook,None-None-None,iPhone,iOS,13-7-None,Phone,Apple,iPhone81
310,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 10.0; WOW64; Trident/7.0; .NET4.0C; .NET4.0E; Tablet PC 2.0; .NET CLR 2.0.50727; .NET CLR 3.0.30729; .NET CLR 3.5.30729; Zoom 3.6.0; Microsoft Outlook 16.0.5071; ms-office; MSOffice 16),Outlook,2016-None-None,Other,Windows,10-None-None,Computer,None,None
311,Mozilla/5.0 (Linux; Android 10; RMX2151 Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/86.0.4240.198 Mobile Safari/537.36 GSA/11.38.8.23.arm64,Google,11-38-8,RMX2151,Android,10-None-None,Tablet,Generic_Android,RMX2151
312,Mozilla/5.0 (Linux; Android 7.0; LG-M320 Build/NRD90U; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 Instagram 169.1.0.29.135 Android (24/7.0; 320dpi; 720x1193; LGE/lge; LG-M320; mlv7; mlv7; pt_BR; 262886987),Instagram,169-1-0,LG-M320,Android,7-0-None,Tablet,LG,M320
313,Mozilla/5.0 (Linux; Android 9; CPH2015 Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 GSA/11.41.10.23.arm64,Google,11-41-10,CPH2015,Android,9-None-None,Tablet,Generic_Android,CPH2015
314,Mozilla/5.0 (Linux; Android 10; SM-G975U Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 GSA/11.41.10.23.arm64,Google,11-41-10,Samsung SM-G975U,Android,10-None-None,Tablet,Samsung,SM-G975U
315,Mozilla/5.0 (Linux; Android 9; SM-G965U Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/86.0.4240.198 Mobile Safari/537.36 GSA/11.35.8.23.arm64,Google,11-35-8,Samsung SM-G965U,Android,9-None-None,Tablet,Samsung,SM-G965U
316,Mozilla/5.0 (Linux; Android 10; ASUS_I003D Build/QKQ1.200419.002; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 GSA/11.41.10.23.arm64,Google,11-41-10,Asus I003D,Android,10-None-None,Tablet,Asus,I003D
317,Mozilla/5.0 (Linux; Android 10; SM-A600FN Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 GSA/11.41.10.23.arm,Google,11-41-10,Samsung SM-A600FN,Android,10-None-None,Tablet,Samsung,SM-A600FN
318,Mozilla/5.0 (Linux; Android 10; SM-A307GT Build/QP1A.190711.020; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 Instagram 169.1.0.29.135 Android (29/10; 280dpi; 720x1423; samsung; SM-A307GT; a30s; exynos7904; pt_BR; 262886993),Instagram,169-1-0,Samsung SM-A307GT,Android,10-None-None,Tablet,Samsung,SM-A307GT
319,Mozilla/5.0 (Linux; Android 8.1.0; moto e5 (XT1920DL) Build/OPPS28.44-26-17-14; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 GSA/11.40.12.23.arm,Google,11-40-12,moto e5 (XT1920DL),Android,8/1/00,Tablet,Generic_Android,motoe5(XT1920DL)
320,Mozilla/5.0 (Linux; Android 9; motorola one macro Build/PMDS29.70-85-2; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 Instagram 169.0.0.28.135 Android (28/9; 280dpi; 720x1381; motorola; motorola one macro; lima; mt6771; pt_BR; 262372431),Instagram,169-0-0,motorola one macro,Android,9-None-None,Tablet,Generic_Android,motorolaonemacro
321,Mozilla/5.0 (Linux; Android 10; moto g(9) plus Build/QPA30.19-Q3-32-50; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.101 Mobile Safari/537.36 Instagram 169.0.0.28.135 Android (29/10; 400dpi; 1080x2244; motorola; moto g(9) plus; odessa; qcom; pt_BR; 262372432),Instagram,169-0-0,moto g(9) plus,Android,10-None-None,Tablet,Generic_Android,motog(9)plus
322,Mozilla/5.0 (Linux; Android 8.1.0; Redmi 5 Plus Build/OPM1.171019.019; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/86.0.4240.198 Mobile Safari/537.36 Instagram 168.0.0.40.355 Android (27/8.1.0; 440dpi; 1080x2030; Xiaomi/xiaomi; Redmi 5 Plus; vince; qcom; pt_BR; 261079769),Instagram,168-0-0,XiaoMi Redmi 5 Plus,Android,8/1/00,Tablet,XiaoMi,Redmi5Plus
323,Mozilla/5.0 (Linux; Android 8.1.0; SM-J410G Build/M1AJB; wv) AppleWebKit/537.36 (KHTML like Gecko) Version/4.0 Chrome/87.0.4280.66 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/297.0.0.36.116;],Facebook,297-0-0,Samsung SM-J410G,Android,8/1/00,Tablet,Samsung,SM-J410G
