customer_id,device
283,548203-574025
283,416323-535104
283,678360-436085
285,420510-516049
285,831062-563105
285,006130-774036
286,510486-173001
286,452535-758005
287,239503-689038
289,830207-159042
289,548255-145068
290,830207-159042
290,548255-145068
291,494006-375067
291,050216-379105
291,276165-328105
291,734001-533103
292,104550-124110
292,765049-617013
293,045102-436084
293,240312-722075
293,574273-571077
293,687513-528078
294,356001-528007
295,590039-159092
295,795482-225091
295,782326-469082
297,666545-175062
298,237056-221075
298,019243-313084
299,390488-202032
299,650350-504018
299,276237-671070
300,652410-215002
300,416389-436107
300,963325-629094
301,522225-544072
302,875050-475083
303,974292-640077
303,854237-129082
303,723236-718098
303,250247-499108
305,826254-350021
305,982435-317005
305,013452-473001
305,400057-342038
306,394144-349082
309,652308-515038
310,652308-515038
311,887489-688068
311,258203-698079
311,484215-270001
312,894236-720095
312,657222-301019
313,894236-720095
313,657222-301019
314,525141-635070
318,424460-603031
318,464293-530108
318,375274-349088
318,530037-213096
319,424460-603031
319,464293-530108
319,375274-349088
319,530037-213096
321,840533-529042
322,271272-704085
323,476399-666007
323,935368-498019
323,779247-254043
323,685530-442063
324,580017-596053
324,068432-265090
324,752409-619059
324,472289-162068
327,342294-627007
327,683308-220047
328,637195-674018
328,112239-314078
328,937278-657019
328,709398-698074
329,565027-707006
329,567336-151016
329,673297-655074
329,943138-767052
331,014176-271103
331,951512-592058
331,310256-319022
331,731361-529028
332,843354-679075
332,563274-261073
333,952101-304082
333,987500-690018
333,354063-598006
334,602097-758053
335,365320-117004
335,519392-185064
336,032157-452043
336,525141-635070
336,491306-720082
336,685210-123033
337,890001-663066
337,424460-603031
337,158263-406071
337,656137-505008
340,323206-296050
340,243526-567059
340,503396-670083
340,235170-298101
341,323206-296050
341,243526-567059
341,503396-670083
341,235170-298101
342,225518-458044
344,656157-659003
345,656157-659003
346,242185-234082
347,396534-388077
347,162478-413054
348,054231-535093
348,688541-161038
348,728466-747029
348,940400-325086
349,302480-605021
349,412322-127102
349,373284-660052
349,459228-541087
350,450184-483059
350,018346-722041
351,168150-360102
351,432366-664017
351,805457-600014
352,228153-420079
352,532054-496061
352,809495-243059
352,078307-698096
353,210059-589054
353,012068-464072
353,120315-571059
353,444361-484062
354,366127-697085
354,428030-145062
354,105458-426006
354,772194-168085
355,897473-120079
355,218137-326100
355,636284-731042
355,998361-215071
356,568428-759051
358,855486-749089
358,218137-326100
358,876221-502035
358,269115-599062
360,057255-262075
360,174115-177085
360,634074-690074
360,609419-161032
364,075069-661004
364,492080-341109
364,726322-719075
364,148204-175080
366,956077-756000
366,645340-192075
369,261138-618024
370,942553-599093
370,337055-260006
370,629261-423101
370,167036-716008
371,320012-757108
371,569168-145031
374,614526-755068
374,468152-396100
374,980244-597011
374,719104-559099
375,614526-755068
375,468152-396100
375,980244-597011
375,719104-559099
378,047206-206073
378,137215-655089
379,047206-206073
379,137215-655089
380,901408-413029
380,041547-755059
380,890049-302085
380,817524-218048
381,199096-718084
381,715192-255030
381,256225-196034
381,695146-465069
382,199096-718084
382,715192-255030
382,256225-196034
382,695146-465069
383,002026-497097
383,224311-611045
383,616337-655044
383,553277-233047
384,510169-610090
384,578111-273003
384,457399-284103
385,260388-774020
385,240424-349024
387,541183-288103
388,588220-452051
388,907344-369011
388,419518-238092
389,588220-452051
389,907344-369011
389,419518-238092
390,851202-401003
390,953230-586032
394,468051-120073
394,473550-430055
394,758454-613064
394,995299-497000
395,468051-120073
395,473550-430055
395,758454-613064
395,995299-497000
396,964281-218042
396,468534-476030
396,675389-638080
397,475227-619033
397,446468-631110
397,756144-449071
397,986346-621075
398,475227-619033
398,446468-631110
398,756144-449071
398,986346-621075
400,439074-721021
400,140424-355092
400,116389-655089
401,761382-416091
401,429439-730074
401,085201-157090
401,423524-141076
402,985377-127000
402,947095-630063
404,276279-498016
404,493002-385044
404,461083-341053
405,725129-628077
405,281435-673033
405,455094-412010
406,725129-628077
406,281435-673033
406,455094-412010
408,861339-365084
408,433162-458040
409,861339-365084
409,433162-458040
410,399405-703092
410,853231-593019
410,958526-652003
410,565040-272034
411,513248-589094
411,790411-676074
411,280136-323081
413,274242-527042
413,653118-351016
413,389352-695034
413,440183-549032
414,363311-367063
414,584321-422060
415,724176-571008
415,023461-286032
415,491019-351098
415,875102-558052
419,931020-278096
419,687371-417052
419,300055-149073
419,578356-337018
420,751528-602104
420,117278-737039
420,890404-775053
421,252346-276077
422,959118-128056
423,993353-309051
424,993353-309051
425,700429-707083
425,111322-526062
425,848287-224084
426,974476-408095
427,184194-450036
427,958028-184039
428,171281-197007
429,395338-549006
429,701030-338064
429,028460-378102
430,379177-551040
430,406021-222047
430,424311-461033
430,131050-324065
431,852155-682029
431,968509-497031
433,392011-690058
434,557378-617063
434,331336-395021
434,631388-614082
434,665334-387088
435,664413-187057
436,775516-645106
436,388207-322079
436,585440-307086
437,255037-669086
437,095121-304088
437,425215-119064
438,082353-133069
439,082353-133069
440,157251-396033
440,068177-540069
440,636033-366108
440,512189-532098
441,828098-141021
441,985251-362078
442,076474-185095
442,110487-192105
442,237375-666001
444,327475-486071
444,346195-348012
445,094430-734018
446,818102-662042
446,708346-750063
447,329115-679018
448,712365-399006
449,987479-545070
449,073297-579086
449,103434-704012
450,987479-545070
450,073297-579086
450,103434-704012
452,905070-474110
454,506527-121074
454,335386-153073
455,142548-519097
455,137386-694085
455,407475-595104
455,059508-114105
456,603195-436042
457,985274-284039
458,985274-284039
460,619491-160018
460,249031-402055
460,605504-438092
461,225313-737095
462,699412-364002
462,104483-459061
462,353146-257042
464,764484-294094
464,578372-597047
465,988074-685093
465,102080-235061
465,588080-214089
466,598194-417071
466,963037-496002
467,535531-476025
467,423050-496008
467,643132-771038
468,566086-372089
470,881252-614073
471,131251-388062
471,103238-411019
471,390088-116038
473,728290-221036
473,246554-237110
473,140419-547039
473,724176-571008
474,091536-205008
474,956235-305045
474,634494-475055
475,510141-617063
475,636403-325110
476,449386-358056
476,078307-698096
478,794334-543048
478,144525-479012
478,120388-525074
478,795020-413071
479,697402-515050
481,991214-726081
481,247400-683040
481,890391-701006
481,189344-367011
483,608445-506060
483,169193-542084
483,632077-473061
484,172446-693045
484,702337-233080
484,456549-380048
487,159040-568045
487,553258-242006
487,816390-183065
487,929243-308017
488,072236-121024
488,471129-223030
489,072236-121024
489,471129-223030
490,016549-445075
490,773495-333033
490,525100-280082
491,174032-678023
491,073189-610078
492,174032-678023
492,073189-610078
493,016222-527063
493,573135-447084
494,720088-552013
494,443318-119048
495,183030-365030
495,751528-602104
497,130285-639012
497,642140-259047
497,700195-722021
497,279432-284060
498,782290-330102
498,120427-366020
499,347346-386042
499,045319-632009
499,460546-313108
499,875185-687057
500,200164-364039
501,521003-574007
501,155537-672007
501,498132-618048
502,985274-284039
502,749071-214051
502,752507-598103
504,440183-549032
504,090489-454010
505,181363-316063
506,270512-231044
506,513457-313002
506,718332-221044
507,584321-422060
509,295289-356072
510,471129-223030
511,252450-623106
511,043315-147047
511,573135-447084
512,150115-327067
512,269115-599062
513,059084-547040
514,059084-547040
515,540007-323099
517,821205-418026
517,047263-355074
518,673452-351061
518,796155-270107
523,499283-420094
523,398076-157072
523,531148-759017
524,943450-157103
525,943450-157103
528,461369-164053
529,163275-741014
531,439372-644057
532,965014-350047
532,363539-238031
532,090442-295061
532,174360-451079
533,721189-753041
533,284477-638058
533,407397-772004
534,580481-178051
534,970506-456001
534,703480-460103
534,052002-547062
536,594443-415093
536,835228-189048
536,268118-194043
537,094463-332001
537,353062-375067
537,958248-117069
538,094463-332001
538,353062-375067
538,958248-117069
539,129032-723066
540,645149-648069
540,584431-227084
540,665334-387088
541,650104-621058
544,385206-534048
544,993184-195081
546,753279-695012
546,784027-236063
546,097021-567046
546,760256-761011
549,017447-664075
549,104550-124110
549,707546-661080
549,689276-588103
550,783003-219024
550,914479-286081
550,244507-329092
551,233467-667010
551,201166-653073
552,445271-460013
553,229422-690005
553,661247-657101
554,123316-755047
554,165190-603067
555,675045-372027
556,580322-583025
557,872247-768048
557,185153-543010
558,517526-631000
558,838099-754086
559,136421-605017
559,115038-621014
559,277313-612004
559,432405-176054
561,571327-686065
561,159084-599065
563,342243-487021
563,268109-459009
563,930539-612033
563,565530-569094
564,524460-395098
566,761251-606046
567,355273-771102
567,735227-130110
567,901304-484100
567,303205-635029
568,365520-134063
568,412530-411110
568,291124-588005
568,489199-549073
570,297119-667106
570,801270-618031
572,600040-489036
572,946329-283109
572,028264-636099
573,181156-141091
573,533448-666110
573,799279-205035
574,500185-774045
574,675487-380047
574,958248-117069
575,870145-609043
575,649211-732008
575,594269-246065
575,116470-258028
576,701421-621009
577,004350-671065
577,016249-268104
578,811097-574000
578,239503-689038
578,524263-317055
578,385211-655016
579,371243-145065
579,131123-712105
580,599243-570058
580,034500-411078
580,754149-642085
581,599243-570058
581,034500-411078
581,754149-642085
582,458222-580072
582,657554-165104
582,562374-548098
583,285423-362051
584,859526-430032
584,071459-725103
584,625284-398035
584,334243-384013
585,682447-730025
585,192242-338083
585,575073-706084
585,093516-535074
586,852219-481065
586,877225-492044
588,585327-719036
588,796126-384110
588,395236-589000
589,980401-393024
589,217088-594097
591,885188-735004
591,976140-421096
591,851386-622057
592,075012-775054
592,397355-137006
592,966162-532048
592,565398-293070
593,401114-731003
593,742090-193008
594,223100-337073
595,157269-463072
595,104122-486053
595,014028-132109
595,864341-467097
596,416085-606107
596,286535-744051
596,737390-281110
598,603281-406043
598,350290-544023
601,095244-389082
601,262379-162030
602,514128-753046
602,560214-380030
602,918224-136086
602,415031-427033
603,636403-325110
603,009389-249029
604,254479-456097
604,925418-181109
605,178165-682096
605,844110-638052
605,193426-145068
605,960288-529089
606,659341-126105
606,382355-294024
607,908357-156106
608,589005-526059
608,273228-408050
608,792374-137020
609,749071-214051
611,162038-491038
611,838099-754086
611,801434-644003
612,162038-491038
612,838099-754086
612,801434-644003
613,138180-749038
613,107136-213076
613,228153-420079
614,086400-733070
614,473364-250098
614,666412-452031
614,822276-706043
615,366021-523054
615,987406-388062
615,429439-730074
615,106106-575053
617,460266-273008
617,431508-469043
617,404081-448049
617,421293-272056
618,438488-446029
618,160035-694035
619,438488-446029
619,160035-694035
620,114455-422108
620,251002-774056
620,674548-682073
621,114455-422108
621,251002-774056
621,674548-682073
622,462361-337047
623,873477-279019
625,624229-261018
625,610370-704102
625,822276-706043
625,917290-633104
627,628224-249063
627,491441-528018
627,757150-479060
628,259451-350077
628,446362-400047
628,448227-195009
629,973295-466076
630,525078-418092
630,752504-561096
631,525078-418092
631,752504-561096
632,945270-563004
632,826049-226020
632,174032-678023
632,991058-519098
633,357073-613028
633,190098-670010
634,357073-613028
634,190098-670010
635,434400-238009
635,254331-296024
636,430442-609052
637,021243-151052
638,570235-272093
639,689491-375107
641,352114-736079
641,770189-525017
641,348396-646089
642,128414-698046
642,783466-644019
642,705499-497020
642,951484-636010
644,768219-772007
646,158263-406071
646,005106-753052
647,906433-144100
647,335386-153073
648,454384-576073
648,956260-637026
648,202488-370067
649,336479-532041
649,866472-690101
649,664075-612076
649,311217-525045
650,083483-154037
650,009362-424038
650,148205-156078
650,728350-237034
651,718360-615092
651,374197-384001
651,775043-215048
652,463425-231042
652,301534-673057
652,632077-473061
652,929270-178028
653,911126-216103
653,660152-332088
653,763186-379004
654,907426-651108
655,390509-666057
655,146154-209104
655,429055-708097
656,793276-613064
656,135262-215048
658,776233-624005
658,625464-137096
658,878356-439019
658,373284-660052
659,453358-485020
659,585435-679047
660,134520-754099
660,837181-561078
660,137412-576009
661,451095-134002
661,503232-132003
661,352482-598051
661,624229-261018
662,905272-282038
662,439113-478073
663,568534-682061
664,996170-765097
664,021081-480084
664,211347-555102
664,884416-726093
665,527493-542071
665,676213-193037
665,783385-440043
665,191125-177075
668,776405-718050
669,203437-318051
669,157528-694052
669,175205-642078
670,429131-491046
670,209487-423024
670,020415-514110
670,321365-331063
671,971094-247106
671,158263-406071
671,176090-232056
672,715494-139019
673,559303-646024
674,076134-372005
674,085173-579093
674,570235-272093
674,255037-669086
677,111056-182099
677,761478-292062
677,219281-114053
678,764458-732093
678,693175-276080
678,538202-227021
679,039413-560092
679,637195-674018
679,740530-464055
679,058029-651041
680,922435-372061
680,105233-508068
680,790348-428065
681,788427-719089
681,464495-721083
682,545231-639035
682,507420-301099
682,222477-737106
683,255388-488088
683,995270-408067
683,785278-724089
684,273228-408050
685,534298-372096
688,152264-170005
688,374405-150084
688,830459-448000
689,553338-129081
690,171217-437098
690,910000-615101
690,144525-479012
693,180096-580050
693,871264-567015
693,118386-379068
694,607222-318073
694,277527-228027
694,437131-517001
695,237375-666001
695,657241-330094
695,993154-756007
695,799201-706068
696,019092-720034
696,059217-733019
696,827331-209018
697,226390-442036
697,993193-305084
697,771526-533074
697,881436-133081
701,316190-212019
701,057490-551106
701,179527-223102
701,687158-182106
702,316190-212019
702,057490-551106
702,179527-223102
702,687158-182106
704,932545-405051
704,412466-370064
704,122020-735080
705,730315-203011
706,241431-505095
708,278044-297046
708,314360-446102
709,953096-535048
710,420079-195049
710,255388-488088
710,907328-562022
711,195435-158017
711,768219-772007
712,979125-260047
712,071220-180085
712,171444-362013
713,888414-701110
713,106106-575053
713,953067-265045
714,773276-526031
714,821205-418026
714,854363-131106
715,748239-705061
715,516275-704089
715,377371-581057
715,110162-322108
717,771379-424004
717,107537-301110
717,951379-676009
719,262540-156080
721,977531-247094
721,798229-216104
721,653256-712013
721,190548-775079
722,869376-641054
723,992314-660093
723,021480-267068
723,083132-413036
724,752480-545001
724,653256-712013
724,554457-673084
724,401388-295015
725,938091-449083
725,690509-575013
725,137248-118054
726,666471-159082
726,121419-209019
726,125413-471103
727,666471-159082
727,121419-209019
727,125413-471103
729,548102-667108
729,063286-455016
731,867210-200023
731,699412-364002
732,867210-200023
732,699412-364002
733,399300-413101
733,706545-585005
733,023101-336026
733,470491-580037
734,861142-278075
734,266202-559070
734,001328-368004
735,861142-278075
735,266202-559070
735,001328-368004
736,195457-461039
736,429131-491046
737,587313-526089
737,258092-313101
738,543029-342058
738,458125-143007
739,543029-342058
739,458125-143007
742,942091-494089
742,891316-712046
742,326010-608062
742,757035-355109
743,981067-319063
743,948534-124091
743,137248-118054
743,122481-200008
744,621326-170037
744,293471-559107
744,963317-577002
745,527178-660101
745,420414-282055
745,673356-499095
746,750329-417047
746,524121-182043
748,509058-647092
748,747400-566029
749,364359-642039
749,138003-532063
749,636042-693082
751,138348-466093
752,043315-147047
752,005433-492088
753,750329-417047
753,983421-609097
754,244507-329092
755,244507-329092
756,077139-710028
757,077139-710028
758,778519-283037
758,789028-683026
758,954479-684063
759,634159-165062
760,928506-471089
761,787190-262070
761,268166-122087
761,601005-253035
762,278096-317034
762,867470-471006
762,380172-200027
763,966162-532048
763,121419-209019
763,343106-406047
764,640287-542004
767,471038-321082
767,592020-512081
768,126141-162063
768,132383-520071
768,112021-485076
769,812184-312088
769,685005-496093
769,157352-683018
770,293543-507031
770,061518-281019
771,293543-507031
771,061518-281019
772,251169-519091
773,770523-140067
774,201216-524053
774,432405-176054
774,812184-312088
774,210319-458097
775,837479-293093
775,081300-137017
775,288017-759067
776,865339-650060
776,310256-319022
777,068058-381056
778,068058-381056
779,514320-586004
779,352354-761032
779,959329-546057
780,681165-585015
780,880503-275030
780,663075-197032
781,224311-611045
781,258490-502081
781,074458-737065
781,993232-693052
782,224311-611045
782,258490-502081
782,074458-737065
782,993232-693052
785,330135-292063
785,780217-182074
785,767349-527028
786,720278-535055
786,751394-154066
788,457229-522054
788,038272-158032
788,087046-319095
789,513457-313002
789,043158-456046
790,384269-720006
791,070483-622048
791,001143-383027
791,547269-323096
791,787123-228092
792,863337-276012
793,414502-328109
793,287330-136005
793,352350-176080
793,466422-142050
794,263292-277059
794,343480-544070
796,939378-326065
796,743019-712027
796,154233-509037
796,063082-763073
797,939199-321031
797,619491-160018
797,828082-606003
798,862324-369030
798,495256-484066
798,447364-549024
798,859513-359073
799,771365-142085
799,130285-639012
800,494338-452051
800,457448-267018
800,890001-663066
801,017202-711018
801,623482-116047
801,902214-609057
801,749023-119047
802,510528-138064
802,655373-219036
802,265259-192037
802,433353-275109
803,447117-236043
803,894236-720095
803,016365-148044
804,447117-236043
804,894236-720095
804,016365-148044
806,705517-213004
806,675266-341022
806,477110-656079
806,881159-543108
811,173538-733100
811,166259-178065
811,929036-732096
811,491019-351098
812,288031-744075
813,288031-744075
814,017114-472012
814,933521-218092
814,621334-368003
814,335418-619100
816,570093-505001
817,570093-505001
818,158263-406071
818,650201-417070
818,858206-613097
819,582052-333038
820,085201-157090
820,735551-448110
820,719148-369017
820,219281-114053
821,432219-120070
821,720532-501027
821,963037-496002
822,902142-182055
822,151077-286102
822,749076-232046
822,077430-305101
823,170239-164082
823,953230-586032
824,353475-518001
824,100403-717084
825,353475-518001
825,100403-717084
827,427554-150108
827,805043-710102
827,378395-136036
827,182054-347033
829,299477-400048
829,016466-444028
830,644427-162037
830,997140-478076
830,796155-270107
833,886401-697100
833,006103-715072
833,690509-575013
833,057061-482010
834,886401-697100
834,006103-715072
834,690509-575013
834,057061-482010
835,621220-161055
835,096114-663028
835,377222-505067
835,268166-122087
836,307116-248069
837,381093-294025
837,187397-605038
838,460016-627084
839,349349-675021
839,550030-720033
840,496324-413092
840,981067-319063
840,463425-231042
841,458222-580072
841,808191-521047
841,700429-707083
842,984470-532042
842,094152-220098
842,497132-523053
842,735314-244018
843,253158-161080
843,165438-709054
843,359249-636043
844,264303-668012
844,172446-693045
845,194399-519064
845,021402-502030
845,568428-759051
846,194399-519064
846,021402-502030
846,568428-759051
848,186192-594051
848,120325-579110
849,754021-393019
849,284308-738058
849,128461-291099
852,860185-770035
852,353146-257042
852,088381-716003
852,191122-216014
853,639325-301092
853,407376-524016
853,694476-540088
853,554499-384014
854,096527-407095
854,105458-426006
854,213525-152002
854,336425-178017
855,682447-730025
855,914428-365044
855,629212-321004
856,682447-730025
856,914428-365044
856,629212-321004
857,042112-567036
857,577174-394045
860,637195-674018
861,880370-578005
861,668286-498040
861,747535-688048
861,882221-604026
862,367478-278086
862,763506-270008
863,169331-623015
863,585474-638066
863,967161-435062
864,169331-623015
864,585474-638066
864,967161-435062
865,281209-474001
865,920358-299066
865,466464-184092
865,854486-232056
866,281209-474001
866,920358-299066
866,466464-184092
866,854486-232056
867,787073-215061
867,648222-619006
867,688286-532079
867,521302-441062
868,176220-569071
868,484251-157099
868,124387-567048
869,161109-549046
870,867106-510013
871,371243-145065
871,113301-616088
871,137412-576009
872,115133-155110
872,093028-131094
875,863095-616027
878,994155-666044
878,213504-584109
878,305343-238031
879,629175-407110
879,894304-698022
879,205502-634090
880,489092-247008
880,425405-559071
880,404499-631068
880,811274-729034
881,489092-247008
881,425405-559071
881,404499-631068
881,811274-729034
