item_id,item_desc,dept_id,dept_desc,catg_id,catg_desc,prodClass,prodBrand,item_price,item_cost,next_dept_id,next_catg_id,item_weight
0070-2986,Adams Junior Competition All P,12,Sports and Outdoors,144,Sports, Baseball Gear and Equipment ,Adams,47.99,14.4,8,19,14
0071-329f,Advantage Ultra Adult Large Cu,8,Health,78,Home Health Care, Blood Pressure Monitors,ADC,22.98,9.19,6,86,9
0072-3d56,Muslin Dream Blanket - Rock St,8,Health,78,Home Health Care, Blood Pressure Monitors,aden + anais,88,52.8,6,86,53
0073-93ec,aden by aden + anais sleeping ,8,Health,78,Home Health Care, Blood Pressure Monitors,aden + anais,16,9.6,6,86,10
0074-71af,aden by aden + anais sleeping ,8,Health,78,Home Health Care, Blood Pressure Monitors,aden + anais,17.94,7.18,6,86,7
0075-54bf,aden by aden + anais snap bib ,3,Baby,13,Nursery and Decor, aden + anais ,aden + anais,12.93,7.76,5,19,8
0076-2ddd,adidas Adult X Foil Soccer Shi,12,Sports and Outdoors,144,Sports, Soccer ,adidas,105.01,73.51,8,19,74
0077-7c63,adidas Golf Ultimate Classic P,12,Sports and Outdoors,144,Sports, Golf Equipment ,adidas,85.34,42.67,8,19,43
0078-efe9,adidas Girls Club Tennis Short,12,Sports and Outdoors,144,Sports, Tennis and Racquets ,adidas,70.21,49.15,8,19,49
0079-a270,adidas Badminton adiZero F500 ,12,Sports and Outdoors,144,Sports, Golf Equipment ,adidas,69.99,41.99,8,19,42
0080-14a2,Adidas Tastigo 19 Shorts Adida,6,Clothing,48,Mens Clothing, Mens Activewear ,adidas,56.05,22.42,8,27,22
0081-473e,Mizuno Swift 5,6,Clothing,49,Shoes, Womens Shoes ,adidas,55.25,38.68,8,40,39
0082-8b11,adidas Girls Destiny Softball ,12,Sports and Outdoors,144,Sports, Baseball Gear and Equipment ,adidas,49.55,34.69,8,19,35
0083-9b17,Adidas Climalite 3-Stripes Cuf,12,Sports and Outdoors,144,Sports, Golf Equipment ,adidas,44.99,18,8,19,18
0084-4ca8,Adidas Womens Soccer Core Trai,12,Sports and Outdoors,144,Sports, Soccer ,adidas,44.35,22.18,8,19,22
0085-e3f9,Adidas Predator Senior Repliqu,12,Sports and Outdoors,144,Sports, Soccer ,adidas,43.22,25.93,8,19,26
0086-5eb5,adidas 4 Short Tights Dark Gr,12,Sports and Outdoors,144,Sports, Volleyball ,adidas,39.95,27.97,8,19,28
0087-ea32,adidas Womens Saturday Hat,12,Sports and Outdoors,144,Sports, Soccer ,adidas,35.04,14.02,8,19,14
0088-15e9,ADIDAS ADULT FREAK 4.0 FOOTBAL,12,Sports and Outdoors,144,Sports, Football Gear and Equipment ,adidas,33.73,23.61,8,19,24
0089-7d19,Adidas Womens Tennis ID Winner,12,Sports and Outdoors,144,Sports, Tennis and Racquets ,adidas,30,12,8,19,12
0090-a156,Pure Motion Stripe Golf Jersey,12,Sports and Outdoors,144,Sports, Golf Equipment ,adidas,24.99,7.5,8,19,8
0091-98df,GHOST PRO,12,Sports and Outdoors,144,Sports, Soccer ,adidas,22,11,8,19,11
0092-6704,Adidas Unisex X Reflex Soccer ,12,Sports and Outdoors,144,Sports, Soccer ,adidas,13.11,7.87,8,19,8
0093-9d88,Pouch for Wheelchair/Walker-Bl,8,Health,78,Home Health Care, Walker Accessories ,AdirMed,9.95,4.98,6,86,5
0094-f94d,Admiral Sports SOLO Soccer Goa,12,Sports and Outdoors,144,Sports, Soccer ,Admiral Sports,23.99,9.6,8,19,10
0095-8a99,Mucus Relief Guaifenesin 400 m,8,Health,65,Cold Cough and Flu, Chest Decongestants,Advance Pharmaceuticals,8.97,4.49,6,85,4
0096-5fc6,Zahler Total One Prenatal Cont,8,Health,95,Vitamins and Supplements, Estrogen Capsules,Advanced Nutrition b,18.17,10.9,6,102,11
0097-c3c6,Adventure Medical Kits Profess,12,Sports and Outdoors,142,Outdoor Sports, Camping Gear ,Adventure Medical Kits,18.99,5.7,8,4,6
0098-cfbf,Advocate Moist/Dry Heating Pad,8,Health,86,Pain Relievers, Heating Pad,Advocate,23.77,11.89,6,37,12
0099-cc7e,AERIUS HELMET AERIUS V11 - KID,12,Sports and Outdoors,140,Bikes, Bike Apparel and Footwear ,AERIUS,22.99,6.9,8,13,7
0100-a8b2,WOMEN BODY LOTION 6.7 OZ AEROP,11,Personal Care,17,Bath and Body, Body Lotions and Creams,AEROPOSTALE PROMISE ME,20.81,8.32,8,17,8
0101-6900,Aervoe 201 Red Marking Paint,12,Sports and Outdoors,144,Sports, Track and Field Equipment,Aervoe,13.99,5.6,8,19,6
0102-3097,Multivitamin Mix (180 ct. Item,8,Health,95,Vitamins and Supplements, Multivitamins ,AFONiE,17.69,5.31,6,102,5
0103-b8c4,2 Pack - After Bite The Itch E,8,Health,74,First Aid, Itching and Rash Treatments,After Bite,7.11,4.98,6,60,5
0104-633c,Afton Mens Vectal Clipless Cyc,12,Sports and Outdoors,140,Bikes, Bike Components ,Afton Shoes,119.99,36,8,13,36
0105-cb0a,Agoz Tactical Pouch Belt Molle,12,Sports and Outdoors,142,Outdoor Sports, Shooting ,AGOZ,9.98,6.99,8,4,7
0106-aefa,AGPtek Swing Set Children Flex,1,Toys,152,Shop Toys by Age, Toys for Kids 12 Years and Up ,AGPTEK,13.79,4.14,5,20,4
0107-9d60,Ahava Mineral Hand Cream 3.4 O,4,Beauty,29,Premium Bath and Body, Premium Hand Lotions and Foot Creams,Ahava,32.94,23.06,5,39,23
0108-69af,Aheadset 1-1/8 Headset Bearin,12,Sports and Outdoors,140,Bikes, Bike Components ,AheadSet,5.17,1.55,8,13,2
0110-25cc,IP66 Waterproof Hunting Digita,5,Books,43,Psychology and Social Science Books, Social Science Books ,AICase,72.99,29.2,5,43,29
0111-133c,AIM Herbal Fiberblend Unflavor,8,Health,73,Fiber Supplements, All Fiber Supplements,AIM,136.49,68.25,6,48,68
0112-f4e9,32ft Fish Pond Liner PVC Membr,8,Home and Garden,113,Patio and Outdoor Decor, Pond Liners and Kits,Aimeeli,62.39,37.43,6,144,37
0113-b93b,Electric Heated Vest Washable ,12,Sports and Outdoors,144,Sports, Gymnastics,Aiper,98.36,49.18,8,19,49
0114-b916,Air Supply AS6520231 240V 2 HP,12,Sports and Outdoors,144,Sports, Gymnastics,Air Supply Of The Future,171.53,120.07,8,19,120
0116-f137,Air Wick Scented Oil Refill Sn,10,Household Essentials,121,Bathroom, Air Freshener and Deodorizer Refills,Air Wick,305.99,91.8,8,130,92
0117-7967,Air Wick Scented Oil Refills O,10,Household Essentials,121,Bathroom, Air Freshener and Deodorizer Refills,Air Wick,28.99,20.29,8,130,20
0118-09b3,Air Wick Freshmatic Automatic ,10,Household Essentials,119,Air Fresheners, Air Wick Freshmatic Spray Air Fresheners,Air Wick,18.86,5.66,8,135,6
0119-560b,3 Pack - Air Wick Essential Mi,10,Household Essentials,121,Bathroom, Air Freshener and Deodorizer Refills,Air Wick,16.51,4.95,8,130,5
0120-8f76,Freshmatic Refill RAC82314,10,Household Essentials,119,Air Fresheners, Air Wick Freshmatic Spray Air Fresheners,Air Wick,15.12,6.05,8,135,6
0121-4100,Aira Soap Saver. BPA Free Soap,11,Personal Care,17,Bath and Body, Bar Soap,Aira,7.99,4,8,17,4
0122-0dcd,Airborne Berry Chewable Tablet,8,Health,95,Vitamins and Supplements, Letter Vitamins ,Airborne,19.14,13.4,6,102,13
0123-d0b1,Airhead AHS-1400 S-1400 Wide B,12,Sports and Outdoors,142,Outdoor Sports, Water Sports ,Airhead,239.99,167.99,8,4,168
0124-de2a,Airhead AHRI-22 Airhead Rip II,12,Sports and Outdoors,142,Outdoor Sports, Water Sports ,Airhead,181.79,127.25,8,4,127
0125-01a2,TREND Vest Mens S/M,12,Sports and Outdoors,142,Outdoor Sports, Water Sports ,Airhead,32.1,12.84,8,4,13
0126-c1c4,TREASURE Infant Life Jacket,12,Sports and Outdoors,142,Outdoor Sports, Water Sports ,Airhead,27.99,8.4,8,4,8
0127-fd2e,Value Series Life Vest L/XL Ki,12,Sports and Outdoors,142,Outdoor Sports, Water Sports ,Airhead,26.99,10.8,8,4,11
0128-c3b9,SUN COMFORT COOL SUEDE Pool Ma,1,Toys,150,Outdoor Play, Floats and Pool Games ,Airhead,20.28,6.08,5,20,6
0129-9b2a,Airplus Plantar Fascia Orthoti,8,Health,75,Foot Care, Foot Care Deals ,Airplus,6.28,3.77,6,40,4
0131-3ada,3 of -AK Mak Bakeries - Armeni,11,Personal Care,17,Bath and Body, Body Lotions and Creams,AK MAK BAKERIES,10.18,5.09,8,17,5
0132-5220,AKASO 1080P 2.4 LCD Hunting C,12,Sports and Outdoors,144,Sports, Baseball Gear and Equipment ,AKASO,69.99,48.99,8,19,49
0133-47f2,Home Safe USB Photocatalyst El,10,Household Essentials,128,Pest Control, All Pest Control,AKDSteel,25.81,15.49,8,149,15
0134-ea7a,Anti-Slip Ice Snow Cleats Grip,12,Sports and Outdoors,142,Outdoor Sports, Winter Sports ,AKDSteel,9.57,3.83,8,4,4
0135-3c0b,Golf Swing Correct Wrist Train,12,Sports and Outdoors,144,Sports, Golf Equipment ,AKDSteel,5.55,2.78,8,19,3
0136-3ea9,AkoaDa 4 Styles Universal Baby,3,Baby,14,Strollers, Stroller Accessories,AkoaDa,12.52,8.76,5,12,9
0137-fc80,AkoaDa New Waterproof Bicycle ,12,Sports and Outdoors,140,Bikes, Bike Accessories ,AkoaDa,10.84,5.42,8,13,5
0138-8b2d,AkoaDa New Cup Simple Portable,3,Baby,11,Feeding, Toddler Feeding,AkoaDa,8.59,6.01,5,7,6
0139-5df9,AkoaDa Baby Breathable Pillow ,3,Baby,11,Feeding, Breastfeeding Support,AkoaDa,8.57,4.29,5,7,4
0140-3b33,AkoaDa Summer Kids Inflatable ,12,Sports and Outdoors,142,Outdoor Sports, Water Sports ,AkoaDa,8.21,4.11,8,4,4
0141-ea23,AkoaDa Bike Bicycle Cable Lock,12,Sports and Outdoors,140,Bikes, Bike Accessories ,AkoaDa,6.36,2.54,8,13,3
0142-ee77,Akona 6mm Deluxe Boot (Black M,12,Sports and Outdoors,142,Outdoor Sports, Water Sports ,Akona by Sherwood,65,26,8,4,26
0143-b265,AKONZA Indoor Cycling Bike Bel,12,Sports and Outdoors,141,Exercise and Fitness, Exercise Machines ,Akonza,169.97,118.98,8,6,119
0145-3449,Kids Portable Basketball Stand,12,Sports and Outdoors,144,Sports, Basketball ,Akoyovwerve,37.68,15.07,8,19,15
0146-1f9c,10 pair of Men Practical Green,10,Household Essentials,129,Shoe Care and Repair, All Shoe Care and Repair,akoyovwerve,14.49,7.25,8,4,7
0147-7595,Alaffia - Body Wash - Passion ,11,Personal Care,17,Bath and Body, Body Wash and Shower Gel,Alaffia,32.54,16.27,8,17,16
0148-cd88,Alavert 24-Hour Non-Drowsy All,8,Health,60,Allergy and Sinus, Allergy Medicine,Alavert,24.19,16.93,6,50,17
0149-6ccf,Alba Botanica Hawaiian Hand and ,11,Personal Care,17,Bath and Body, Hand Lotions and Creams,Alba Botanica,33.19,19.91,8,17,20
0150-5db8,Alba Botanica Drink It Up Coco,4,Beauty,26,Here for Every Beauty, Featured Shops ,Alba Botanica,4.88,2.93,5,10,3
0153-f9eb,Alder Creek Relaxing Lavender ,11,Personal Care,17,Bath and Body, Body Scrubs and Exfoliators,Alder Creek Gift Baskets,37.5,11.25,8,17,11
0154-1ea3,ALEKO Inflatable Paddle Board ,12,Sports and Outdoors,142,Outdoor Sports, Paddling ,ALEKO,329.98,131.99,8,4,132
0155-61a1,ALEKO Inflatable Round Insulat,8,Home and Garden,109,Hot Tubs and Saunas, Hot Tubs ,ALEKO,44,13.2,6,144,13
0156-7b8a,3 Pack - Aleve PM Pain Relieve,8,Health,86,Pain Relievers, Headaches and Fever,Aleve,48.94,19.58,6,37,20
0157-6f7e,ALEX Toys Rub a Dub Fizzy Tint,3,Baby,6,Baby and Toddler Toys, Bath Toys,ALEX Toys,9,3.6,5,7,4
0158-0389,Laser Hair Removal Laser IPL P,4,Beauty,31,Premium Beauty Tech and Skin Devices, Premium Hair Tech Tools and Devices,Alexa and Katie,179.99,125.99,5,42,126
0159-ebf7,Smart Watch UNISEX Bluetooth W,8,Health,78,Home Health Care, Exercise and Fitness Monitors,Alexa and Katie,42.65,21.33,6,86,21
0160-90fb,Alikay naturals shea so real s,11,Personal Care,17,Bath and Body, Body Lotions and Creams,Alikay,11.95,5.98,8,17,6
0161-9e0f,6 Pack - Alka-Seltzer Original,8,Health,59,Acid Reflux, Alka-Seltzer ,Alka-Seltzer,27.49,8.25,6,62,8
0162-6dd6,4 Pack Alka-Seltzer Heartburn ,8,Health,59,Acid Reflux, All Acid Reflux,Alka-Seltzer,27.41,10.96,6,62,11
0163-53c0,New All Balls Racing Fork and ,12,Sports and Outdoors,140,Bikes, Bike Components ,All Balls,25.92,12.96,8,13,13
0165-6e35,All Sport Youth Baseball T-Shi,6,Clothing,48,Mens Clothing, Mens T-Shirts and Tank Tops ,All Sport,9.99,3,8,27,3
0166-9992,In The Swim Black Pool Algaeci,8,Health,75,Foot Care, Foot Files,Allchem Industries Inc.,23.99,7.2,6,40,7
0167-4b26,Allegra 24 Hour 45ct Tablet,8,Health,60,Allergy and Sinus, Allegra,Allegra,18.89,13.22,6,50,13
0168-e225,Allegro Gel Knee Pads,12,Sports and Outdoors,144,Sports, Volleyball ,Allegro,33.75,16.88,8,19,17
0169-139e,6999 Value Plus Knee Pad Stand,12,Sports and Outdoors,144,Sports, Volleyball ,Allegro Industries,16.49,9.89,8,19,10
0170-82e8,Fit Over Prescription Safety G,12,Sports and Outdoors,144,Sports, Volleyball ,ALLEN,5.75,4.03,8,19,4
0171-524f,RUGER 10/22 GUN SOCK 40IN GRAY,12,Sports and Outdoors,144,Sports, Volleyball ,ALLEN,6.05,1.82,8,19,2
0172-94f2,Alleson Adult Core Integrated ,12,Sports and Outdoors,140,Bikes, Bike Accessories ,Alleson,61.81,43.27,8,13,43
0173-77a2,Alleson Youth Baseball Pant,12,Sports and Outdoors,144,Sports, Baseball Gear and Equipment ,Alleson,15.98,7.99,8,19,8
0174-7165,ALLESON YOUTH INTERCEPTION FOO,12,Sports and Outdoors,144,Sports, Baseball Gear and Equipment ,Alleson Athletic,15.43,6.17,8,19,6
0175-471a,Alligator 4Mm Shift Cable Hous,12,Sports and Outdoors,140,Bikes, Bike Components ,Alligator,50.99,25.5,8,13,26
0176-8c94,48 Sports Ball Hand Air Pump B,12,Sports and Outdoors,144,Sports, Basketball ,AllTopBargains,89.98,35.99,8,19,36
0177-852d,2 Pc Locking Strap Lock Key Fr,3,Baby,12,Health and Safety, Babyproofing For Kitchen,AllTopBargains,18.98,9.49,5,18,9
0178-74da,Ski Snowboard Goggles Anti Fog,12,Sports and Outdoors,142,Outdoor Sports, Winter Sports ,AllTopBargains,16.98,11.89,8,4,12
0179-5d91,3 Pc Daylight Light Bulb Energ,10,Household Essentials,126,Light Bulbs, All Light Bulbs,AllTopBargains,16.55,11.59,8,124,12
0180-e2ad,Crib Size Zippered Mattress Co,8,Home and Garden,100,Bedding, Mattress Pads and Protectors,AllTopBargains,10.98,6.59,6,107,7
0181-4071,3 Pack Tongue Cleaner Scraper ,11,Personal Care,136,Oral Care, Oral Accessories,AllTopBargains,6.78,4.75,8,22,5
0182-3395,2 Bicycle Water Bottle Cages S,12,Sports and Outdoors,140,Bikes, Bike Accessories ,AllTopBargains,5.96,1.79,8,13,2
0183-cfa1,3 Piece Bath Bombs Set Gift Ul,11,Personal Care,17,Bath and Body, Body Scrubs and Exfoliators,AllTopBargains,5.57,3.34,8,17,3
0184-f136,ALOHA Plant Based Protein Powd,8,Health,88,Protein and Fitness, Fuel Your Workout,Aloha,36.62,14.65,6,106,15
0186-9044,AlphagoMed U81H Electronic Blo,8,Health,78,Home Health Care, Blood Pressure Monitors,AlphagoMed,20.49,12.29,6,86,12
0188-5982,Alpine SwimSafe Earplugs 1 pr,12,Sports and Outdoors,144,Sports, Swimming ,Alpine Hearing Protection,11.25,6.75,8,19,7
0189-7234,Alterna Bamboo Shine Silk-Slee,4,Beauty,35,Premium Hair Care and Hair Tools, Premium Hair and Scalp Treatments,Alterna,14,7,5,43,7
0190-e423,6 Pack - Always Maxi Super Lon,11,Personal Care,133,Feminine Care, Always ,Always,23.58,9.43,8,22,9
0191-e345,Always Radiant Overnight Pads ,11,Personal Care,133,Feminine Care, Always ,Always,21.99,6.6,8,22,7
0192-94b8,Always Radiant Size 4 Overnigh,11,Personal Care,133,Feminine Care, Always ,Always,6.97,4.88,8,22,5
0193-d4ec,Amazing Grass Plant Protein Su,8,Health,94,Superfoods and Cleanses, Superfoods ,Amazing Grass,24.99,12.5,6,138,13
0194-22a4,Amazing Herb Black Seed Oil 12,8,Health,95,Vitamins and Supplements, Bone and Joint Supplements ,Amazing Herbs,21.29,8.52,6,102,9
0195-509f,Multi-Use Nursing Breastfeedin,3,Baby,9,Car Seats, Car Seat Accessories ,Amazing Tot,14.99,10.49,5,14,10
0196-67d3,2 Pack - Smart Light Bulb Wifi,11,Personal Care,137,Shaving, Electric Shavers,AmazingForLess,17.99,7.2,8,8,7
0197-190b,Abstract Duvet Cover Set Rhyth,11,Personal Care,133,Feminine Care, Feminine Hygiene,Ambesonne,129.99,39,8,22,39
0198-86f2,Floral Duvet Cover Set Plum Co,11,Personal Care,133,Feminine Care, Feminine Hygiene,Ambesonne,99.99,59.99,8,22,60
0199-1751,Bohemian Duvet Cover Set Beads,11,Personal Care,133,Feminine Care, Feminine Hygiene,Ambesonne,99.99,30,8,22,30
0200-1b92,Chevron Duvet Cover Set Zigzag,11,Personal Care,133,Feminine Care, Feminine Hygiene,Ambesonne,99.99,50,8,22,50
0201-e2cc,Nature Bedspread Set Baby Deer,11,Personal Care,133,Feminine Care, Feminine Hygiene,Ambesonne,89.99,27,8,22,27
0202-9c5a,Sketchy Apron Two Wolf Portrai,3,Baby,11,Feeding, Bibs and Burp Cloths,Ambesonne,21.99,11,5,7,11
0203-1eaa,Hello Throw Pillow Cushion Cov,3,Baby,15,Toddlers Room, Toddlers Room Decor ,Ambesonne,18.99,7.6,5,12,8
0204-742b,Ambutech Dakota Disk Cane Tip ,8,Health,78,Home Health Care, Canes ,Ambutech,9.95,4.98,6,86,5
0205-95c2,American Baby Company Hooded T,8,Home and Garden,98,Bath, Bath Towels,American Baby Company,12.49,6.25,6,105,6
0207-cf3e,Adview Thermometer Probe Cover,8,Health,83,Medicine Cabinet, Fever Thermometers,American Diagnostic Corporation,30.86,12.34,6,88,12
0208-7629,adtemp adimal digital thermome,3,Baby,12,Health and Safety, Baby Health Care,American Diagnostic Corporation,8.95,2.69,5,18,3
0209-6108,AMERICAN HEALTH,8,Health,95,Vitamins and Supplements, Letter Vitamins ,American Health,24.65,12.33,6,102,12
0210-7e48,3 Pack WOLTRA 1 oz. STICK 100%,11,Personal Care,17,Bath and Body, Body Lotions and Creams,American International Industries,8.54,2.56,8,17,3
0211-64e5,American Ninja Warrior Spray C,1,Toys,154,Shop Toys by Price, Shop Toys by Price,American Ninja Warrior,19.99,13.99,5,22,14
0212-9522,AMPHETAMINE Roller Hockey Bear,3,Baby,14,Strollers, Umbrella Strollers,Amphetamine,19.95,11.97,5,12,12
0213-c1df,2PK Amrep ZUSTT128 Zep Gallon ,10,Household Essentials,123,Cleaning Supplies, All-Purpose Cleaners,Amrep,53.02,31.81,8,139,32
0214-bbee,Amrita Mini Protein Bars Sunfl,8,Health,88,Protein and Fitness, Protein Bars,Amrita Health Foods,10.99,3.3,6,106,3
0215-d603,AMSure Cleansing Enema Set 150,8,Health,80,Laxatives, Enemas,Amsino,9.84,4.92,6,76,5
0216-7953,Xiaomi Mijia M365 Electric Sco,12,Sports and Outdoors,140,Bikes, Bike Components ,Amtone,29.99,9,8,13,9
0221-7b99,Anauto Multifunctional Oxford ,12,Sports and Outdoors,144,Sports, Sports and Duffel Bags,Anauto,22.22,15.55,8,19,16
