ss_sold_date_sk,ss_sold_time_sk,ss_item_sk,ss_customer_sk,ss_cdemo_sk,ss_hdemo_sk,ss_addr_sk,ss_store_sk,ss_promo_sk,ss_ticket_number,ss_quantity,ss_wholesale_cost,ss_list_price,ss_sales_price,ss_ext_discount_amt,ss_ext_sales_price,ss_ext_wholesale_cost,ss_ext_list_price,ss_ext_tax,ss_coupon_amt,ss_net_paid,ss_net_paid_inc_tax,ss_net_profit
2451541,53725,1,54245,291203,161,25919,4,164,18513,92,82.34,139.97,34.99,0.00,3219.08,7575.28,12877.24,225.33,0.00,3219.08,3444.41,-4356.20
2451457,46489,1,5091,1190443,6995,45994,2,87,20898,34,80.06,128.89,3.86,0.00,131.24,2722.04,4382.26,2.62,0.00,131.24,133.86,-2590.80
2451531,33714,1,15233,1586326,1066,18206,2,159,21186,13,20.44,39.44,29.58,0.00,384.54,265.72,512.72,19.22,0.00,384.54,403.76,118.82
2451483,51323,1,24810,1048487,2211,19535,1,123,21477,86,94.81,145.05,7.25,561.15,623.50,8153.66,12474.30,2.49,561.15,62.35,64.84,-8091.31
2452524,52426,1,63156,809873,2190,44507,2,124,22392,63,96.31,148.31,99.36,0.00,6259.68,6067.53,9343.53,62.59,0.00,6259.68,6322.27,192.15
2452504,60544,1,38554,467370,4186,27849,1,286,22421,97,90.93,120.02,69.61,0.00,6752.17,8820.21,11641.94,135.04,0.00,6752.17,6887.21,-2068.04
2451843,71204,1,83738,1508744,1397,11603,8,244,22431,87,66.44,128.89,79.91,0.00,6952.17,5780.28,11213.43,278.08,0.00,6952.17,7230.25,1171.89
2452615,37645,1,94954,1688569,2984,35446,1,192,23160,95,63.77,121.16,115.10,0.00,10934.50,6058.15,11510.20,109.34,0.00,10934.50,11043.84,4876.35
2452282,62925,1,91513,1588980,847,29914,4,78,24003,92,57.11,114.22,54.82,0.00,5043.44,5254.12,10508.24,252.17,0.00,5043.44,5295.61,-210.68
2452246,69052,1,96446,723400,5554,29708,10,287,24796,33,16.60,32.70,20.60,0.00,679.80,547.80,1079.10,61.18,0.00,679.80,740.98,132.00
2452517,49667,1,34465,581649,3233,2817,4,33,24925,40,22.91,26.57,7.17,0.00,286.80,916.40,1062.80,2.86,0.00,286.80,289.66,-629.60
2451599,64784,1,7353,1718370,2634,31698,2,48,25988,87,10.65,11.28,8.79,0.00,764.73,926.55,981.36,68.82,0.00,764.73,833.55,-161.82
2451998,63864,1,59387,265690,2746,9849,10,22,26323,69,99.60,166.33,81.50,0.00,5623.50,6872.40,11476.77,0.00,0.00,5623.50,5623.50,-1248.90
2451124,54938,1,5503,247161,819,49230,7,226,26620,65,26.92,51.41,50.89,2414.73,3307.85,1749.80,3341.65,0.00,2414.73,893.12,893.12,-856.68
2451985,38518,1,66242,1230950,4105,13260,1,221,26877,35,97.38,183.07,76.88,0.00,2690.80,3408.30,6407.45,26.90,0.00,2690.80,2717.70,-717.50
2452221,NULL,1,15095,1342099,2703,15307,1,269,26901,15,NULL,NULL,NULL,NULL,NULL,768.75,NULL,69.24,NULL,769.35,838.59,NULL
2451518,61544,1,83196,20312,3028,23391,8,37,27741,61,37.97,63.78,61.22,0.00,3734.42,2316.17,3890.58,261.40,0.00,3734.42,3995.82,1418.25
2451559,61892,1,57551,538622,5293,1164,7,116,28269,NULL,NULL,61.48,14.14,NULL,1131.20,NULL,4918.40,90.49,NULL,1131.20,1221.69,NULL
2452128,58399,1,95031,950981,3731,20081,7,29,28422,38,95.69,107.17,70.73,0.00,2687.74,3636.22,4072.46,241.89,0.00,2687.74,2929.63,-948.48
2452520,33027,1,53718,1384748,6978,8808,8,82,29338,12,36.17,44.85,44.40,532.80,532.80,434.04,538.20,0.00,532.80,0.00,0.00,-434.04
2451534,64269,1,21758,1115231,2657,17330,1,176,30265,51,15.03,23.14,18.04,0.00,920.04,766.53,1180.14,73.60,0.00,920.04,993.64,153.51
2451899,41734,1,26701,1714667,5480,31093,10,300,30718,38,64.42,84.39,42.19,0.00,1603.22,2447.96,3206.82,112.22,0.00,1603.22,1715.44,-844.74
2451774,37042,1,80213,1287135,4010,36132,1,82,30766,76,26.49,41.58,37.42,0.00,2843.92,2013.24,3160.08,142.19,0.00,2843.92,2986.11,830.68
2450890,39470,1,9408,1695076,2791,16906,2,173,31042,45,64.87,116.11,45.28,0.00,2037.60,2919.15,5224.95,101.88,0.00,2037.60,2139.48,-881.55
2451944,36632,1,NULL,NULL,NULL,12854,NULL,NULL,33000,26,52.23,NULL,17.10,NULL,NULL,NULL,NULL,26.67,NULL,NULL,NULL,-913.38
2452272,63625,1,12675,1174913,2304,22942,1,290,33104,46,25.88,31.05,25.15,474.32,1156.90,1190.48,1428.30,47.78,474.32,682.58,730.36,-507.90
2452225,43741,1,3488,109295,6302,14909,10,190,33562,19,53.82,69.96,25.88,0.00,491.72,1022.58,1329.24,19.66,0.00,491.72,511.38,-530.86
2450971,45976,1,16859,1541832,2005,31378,8,113,33721,93,1.55,2.17,1.49,0.00,138.57,144.15,201.81,2.77,0.00,138.57,141.34,-5.58
2452191,32838,1,79384,1566929,4427,19125,7,30,34364,86,3.99,6.22,1.18,0.00,101.48,343.14,534.92,9.13,0.00,101.48,110.61,-241.66
2452620,67999,1,53270,1878458,4446,18034,2,29,35746,89,71.00,131.35,15.76,42.07,1402.64,6319.00,11690.15,108.84,42.07,1360.57,1469.41,-4958.43
2451470,46159,1,803,1082671,5786,24854,8,95,36026,42,72.35,130.23,114.60,481.32,4813.20,3038.70,5469.66,0.00,481.32,4331.88,4331.88,1293.18
2450848,32609,1,94517,845552,2187,40375,7,129,36507,67,3.26,3.35,2.54,0.00,170.18,218.42,224.45,5.10,0.00,170.18,175.28,-48.24
2451416,39368,1,1371,449697,5576,41055,1,1,41085,5,27.74,39.66,20.22,0.00,101.10,138.70,198.30,4.04,0.00,101.10,105.14,-37.60
2452638,38270,1,79616,1383944,1872,5047,8,86,41491,53,36.17,71.97,61.17,0.00,3242.01,1917.01,3814.41,129.68,0.00,3242.01,3371.69,1325.00
2451067,42610,1,68999,1072909,2419,35929,NULL,224,42108,52,NULL,30.62,28.47,NULL,NULL,NULL,NULL,88.82,NULL,NULL,NULL,282.88
2450972,67026,1,54187,1901082,7177,37672,8,176,43098,99,3.39,4.91,3.68,295.09,364.32,335.61,486.09,4.15,295.09,69.23,73.38,-266.38
2452422,33690,1,62895,246502,2462,8869,7,15,45777,47,6.49,12.20,5.97,0.00,280.59,305.03,573.40,5.61,0.00,280.59,286.20,-24.44
2451642,50449,1,32130,1120177,671,29118,7,154,46152,99,66.92,117.11,46.84,1901.23,4637.16,6625.08,11593.89,164.15,1901.23,2735.93,2900.08,-3889.15
2451909,35842,1,73040,669394,148,30102,10,91,46586,34,61.14,88.65,65.60,0.00,2230.40,2078.76,3014.10,22.30,0.00,2230.40,2252.70,151.64
2452599,58191,1,7993,469105,5417,44929,1,49,47037,96,83.40,131.77,65.88,0.00,6324.48,8006.40,12649.92,126.48,0.00,6324.48,6450.96,-1681.92
2451425,68770,1,71850,1462010,2923,44683,2,105,47139,72,49.71,80.53,9.66,0.00,695.52,3579.12,5798.16,0.00,0.00,695.52,695.52,-2883.60
2451120,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,47935,100,44.44,NULL,NULL,0.00,NULL,NULL,NULL,NULL,0.00,NULL,NULL,-1160.00
2452420,65119,1,3423,1338519,5262,5,2,285,48298,41,38.10,45.33,24.93,746.15,1022.13,1562.10,1858.53,19.31,746.15,275.98,295.29,-1286.12
2451886,36723,1,81271,930263,3255,46694,10,203,48373,40,55.29,66.90,56.19,0.00,2247.60,2211.60,2676.00,0.00,0.00,2247.60,2247.60,36.00
2451357,37592,1,45446,233003,6160,11717,7,113,49479,93,67.11,103.34,65.10,0.00,6054.30,6241.23,9610.62,60.54,0.00,6054.30,6114.84,-186.93
2450870,45959,1,7804,526270,383,36849,4,282,50169,30,67.59,94.62,27.43,0.00,822.90,2027.70,2838.60,32.91,0.00,822.90,855.81,-1204.80
2452603,74094,1,34740,172388,2836,40884,10,38,50235,45,77.67,90.87,6.36,0.00,286.20,3495.15,4089.15,8.58,0.00,286.20,294.78,-3208.95
2451166,31465,1,23534,886027,4873,47719,1,200,50463,41,89.83,90.72,62.59,0.00,2566.19,3683.03,3719.52,205.29,0.00,2566.19,2771.48,-1116.84
NULL,NULL,1,21085,819485,2685,NULL,NULL,281,50476,NULL,NULL,NULL,NULL,NULL,1126.32,NULL,1390.74,NULL,NULL,NULL,NULL,NULL
2451897,30971,1,49279,1624077,6875,34073,1,78,51114,33,2.85,4.13,3.88,16.64,128.04,94.05,136.29,3.34,16.64,111.40,114.74,17.35
2450869,50559,1,40654,1196571,4135,18899,10,70,51413,97,98.19,150.23,64.59,0.00,6265.23,9524.43,14572.31,313.26,0.00,6265.23,6578.49,-3259.20
2451623,73309,1,58734,406530,6773,8216,8,50,52512,83,8.26,9.33,8.77,0.00,727.91,685.58,774.39,29.11,0.00,727.91,757.02,42.33
2451881,36318,1,64223,1184760,6097,29481,7,267,53283,94,89.45,113.60,49.98,0.00,4698.12,8408.30,10678.40,422.83,0.00,4698.12,5120.95,-3710.18
2452409,46022,1,90176,790268,7160,47652,10,275,53699,92,11.08,20.05,0.20,0.00,18.40,1019.36,1844.60,0.92,0.00,18.40,19.32,-1000.96
2451466,53108,1,22306,1153576,5999,30822,7,79,54494,47,72.98,118.22,92.21,0.00,4333.87,3430.06,5556.34,86.67,0.00,4333.87,4420.54,903.81
2450926,52210,1,NULL,NULL,394,17831,7,148,55177,NULL,44.41,73.72,14.74,0.00,368.50,NULL,NULL,7.37,0.00,NULL,375.87,NULL
2452276,48146,1,41139,1225387,1635,31483,4,17,59039,99,99.76,143.65,136.46,0.00,13509.54,9876.24,14221.35,135.09,0.00,13509.54,13644.63,3633.30
2452130,65146,1,36301,1018318,335,5505,10,158,59298,83,33.68,46.47,42.28,140.36,3509.24,2795.44,3857.01,269.51,140.36,3368.88,3638.39,573.44
2451868,49746,1,31464,622839,6214,36789,8,248,59553,68,87.36,142.39,54.10,0.00,3678.80,5940.48,9682.52,0.00,0.00,3678.80,3678.80,-2261.68
2451080,66439,1,40031,1854176,1921,42419,2,231,59829,90,82.80,151.52,6.06,0.00,545.40,7452.00,13636.80,49.08,0.00,545.40,594.48,-6906.60
2451496,61100,1,45410,1692687,3164,31641,7,56,59890,73,59.04,98.59,62.11,4125.96,4534.03,4309.92,7197.07,4.08,4125.96,408.07,412.15,-3901.85
2450879,60437,1,98677,1279314,3504,29294,1,215,60700,89,53.16,78.67,26.74,0.00,2379.86,4731.24,7001.63,214.18,0.00,2379.86,2594.04,-2351.38
2451860,71662,1,3657,553429,801,12573,4,234,61879,81,91.91,181.98,111.00,0.00,8991.00,7444.71,14740.38,359.64,0.00,8991.00,9350.64,1546.29
2451548,36911,1,50173,1613411,296,18334,8,300,62428,93,14.68,29.06,9.00,50.22,837.00,1365.24,2702.58,47.20,50.22,786.78,833.98,-578.46
2451084,47438,1,55927,1067610,3293,36576,10,125,64755,25,84.70,105.87,2.11,0.00,52.75,2117.50,2646.75,3.16,0.00,52.75,55.91,-2064.75
2451652,52255,1,1053,506215,2577,22139,1,203,64771,81,69.71,126.17,74.44,0.00,6029.64,5646.51,10219.77,361.77,0.00,6029.64,6391.41,383.13
2451799,68134,1,82220,382757,2494,17831,1,289,64886,11,16.22,23.51,5.17,0.00,56.87,178.42,258.61,0.56,0.00,56.87,57.43,-121.55
2451899,35054,1,57052,1098218,5337,12503,4,48,65421,36,44.50,75.20,21.05,0.00,757.80,1602.00,2707.20,30.31,0.00,757.80,788.11,-844.20
2451511,65990,1,60269,985657,6245,46033,1,171,66028,89,67.47,121.44,46.14,0.00,4106.46,6004.83,10808.16,369.58,0.00,4106.46,4476.04,-1898.37
NULL,NULL,1,NULL,1398153,5361,NULL,NULL,NULL,66319,NULL,39.20,NULL,NULL,32.53,162.68,NULL,NULL,NULL,32.53,NULL,NULL,-3123.45
2452594,66216,1,86735,178631,6080,13529,7,167,66550,29,5.38,9.79,7.14,0.00,207.06,156.02,283.91,14.49,0.00,207.06,221.55,51.04
2451807,36545,1,13784,1229639,5141,47443,2,96,67004,11,9.64,15.42,3.23,0.00,35.53,106.04,169.62,0.00,0.00,35.53,35.53,-70.51
2451544,71421,1,92386,259092,3845,8151,4,73,67713,6,78.95,132.63,75.59,0.00,453.54,473.70,795.78,13.60,0.00,453.54,467.14,-20.16
2452168,49245,1,72299,224511,1170,15782,7,155,67722,14,45.71,78.62,23.58,0.00,330.12,639.94,1100.68,29.71,0.00,330.12,359.83,-309.82
NULL,53216,1,NULL,592718,4233,NULL,NULL,55,67792,NULL,86.16,NULL,NULL,0.00,NULL,6117.36,10399.37,NULL,0.00,5407.36,NULL,-710.00
2451639,56291,1,37885,433291,3544,44150,10,193,68692,83,9.24,17.55,12.98,0.00,1077.34,766.92,1456.65,64.64,0.00,1077.34,1141.98,310.42
2452525,34155,1,70320,202359,1598,31237,1,204,69329,74,94.48,150.22,91.63,0.00,6780.62,6991.52,11116.28,610.25,0.00,6780.62,7390.87,-210.90
2451598,65585,1,30576,747027,3925,21623,1,131,69637,21,7.54,14.77,2.95,0.00,61.95,158.34,310.17,1.85,0.00,61.95,63.80,-96.39
2451057,58485,1,89719,1563302,1685,20868,4,69,71280,60,12.21,17.09,7.51,0.00,450.60,732.60,1025.40,0.00,0.00,450.60,450.60,-282.00
2451541,48209,1,10050,1530010,6770,35130,10,121,72828,67,75.49,133.61,89.51,0.00,5997.17,5057.83,8951.87,59.97,0.00,5997.17,6057.14,939.34
2451099,38440,1,59358,668030,6749,35021,7,128,73565,55,26.25,48.82,5.85,90.09,321.75,1443.75,2685.10,2.31,90.09,231.66,233.97,-1212.09
2451416,46310,1,49375,466312,2002,6092,10,48,73597,100,85.22,98.85,76.11,5784.36,7611.00,8522.00,9885.00,164.39,5784.36,1826.64,1991.03,-6695.36
2452250,66639,1,9346,577804,7062,32320,2,235,73776,30,91.05,93.78,55.33,0.00,1659.90,2731.50,2813.40,33.19,0.00,1659.90,1693.09,-1071.60
2451176,69375,1,76217,1548346,3675,21804,4,129,73854,97,54.93,70.85,34.71,740.71,3366.87,5328.21,6872.45,105.04,740.71,2626.16,2731.20,-2702.05
2451455,46464,1,31791,1490500,3609,25118,8,17,74015,45,6.67,9.93,5.75,240.63,258.75,300.15,446.85,1.63,240.63,18.12,19.75,-282.03
2451499,37717,1,60599,1265459,3119,24379,4,287,74645,71,81.28,140.61,9.84,0.00,698.64,5770.88,9983.31,48.90,0.00,698.64,747.54,-5072.24
2451404,52549,1,5906,535777,6001,32225,2,111,74659,84,92.55,166.59,53.30,1343.16,4477.20,7774.20,13993.56,188.04,1343.16,3134.04,3322.08,-4640.16
2451162,46319,1,76134,1242384,2234,44484,8,221,75195,41,4.91,9.37,2.71,0.00,111.11,201.31,384.17,3.33,0.00,111.11,114.44,-90.20
2452271,34501,1,55153,1435668,3736,10204,7,80,75275,32,35.36,58.34,51.33,0.00,1642.56,1131.52,1866.88,114.97,0.00,1642.56,1757.53,511.04
2452008,44431,1,63545,553758,4771,33831,2,237,75585,47,87.41,151.21,77.11,2102.01,3624.17,4108.27,7106.87,91.32,2102.01,1522.16,1613.48,-2586.11
2451093,33538,1,40517,742154,6991,35028,7,49,76090,60,15.43,28.23,24.27,0.00,1456.20,925.80,1693.80,0.00,0.00,1456.20,1456.20,530.40
2451226,43697,1,18247,452210,1726,39289,4,207,77704,16,52.90,91.51,47.58,0.00,761.28,846.40,1464.16,7.61,0.00,761.28,768.89,-85.12
2452383,30260,1,46605,1676327,896,41018,10,247,78143,81,62.13,74.55,68.58,0.00,5554.98,5032.53,6038.55,111.09,0.00,5554.98,5666.07,522.45
2452338,53961,1,61684,1781323,2562,36601,8,32,78296,60,20.54,31.01,22.01,0.00,1320.60,1232.40,1860.60,118.85,0.00,1320.60,1439.45,88.20
2451588,70305,1,73423,859604,6938,46272,7,266,79245,92,68.69,124.32,28.59,0.00,2630.28,6319.48,11437.44,52.60,0.00,2630.28,2682.88,-3689.20
2451839,43867,1,26114,110388,262,33336,7,211,79720,46,52.61,55.24,28.72,0.00,1321.12,2420.06,2541.04,26.42,0.00,1321.12,1347.54,-1098.94
2451543,50706,1,71903,1527275,694,21266,8,167,81398,72,29.00,29.58,12.42,0.00,894.24,2088.00,2129.76,17.88,0.00,894.24,912.12,-1193.76
2451996,68849,1,51430,1455570,1310,38650,2,93,82069,68,90.36,125.60,71.59,0.00,4868.12,6144.48,8540.80,243.40,0.00,4868.12,5111.52,-1276.36
2451509,47757,1,48305,1296921,1537,22153,4,166,82145,43,88.79,143.83,93.48,0.00,4019.64,3817.97,6184.69,80.39,0.00,4019.64,4100.03,201.67
2451540,41149,1,73600,837555,5063,26971,7,205,82933,34,84.78,111.06,82.18,2067.64,2794.12,2882.52,3776.04,14.52,2067.64,726.48,741.00,-2156.04
2451736,69642,1,5851,494218,2938,15705,2,186,82961,6,89.85,94.34,66.03,376.37,396.18,539.10,566.04,1.58,376.37,19.81,21.39,-519.29
2451462,37247,1,75966,341239,1712,7785,7,171,84325,10,74.43,99.73,35.90,0.00,359.00,744.30,997.30,14.36,0.00,359.00,373.36,-385.30
2451134,35468,1,70732,903335,4385,32235,2,269,84810,91,2.37,3.91,0.07,3.12,6.37,215.67,355.81,0.26,3.12,3.25,3.51,-212.42
2451740,53925,1,44932,609526,2920,714,4,98,84929,78,56.88,97.26,70.02,3768.47,5461.56,4436.64,7586.28,135.44,3768.47,1693.09,1828.53,-2743.55
2451785,73149,1,82011,1607736,5461,11986,8,80,85962,13,3.79,7.54,6.03,0.00,78.39,49.27,98.02,1.56,0.00,78.39,79.95,29.12
2451410,37916,1,93901,585117,3086,17902,2,83,87519,57,45.11,71.72,8.60,0.00,490.20,2571.27,4088.04,19.60,0.00,490.20,509.80,-2081.07
2452188,45834,1,27487,1413693,1499,48905,8,97,89137,70,37.56,55.96,10.63,0.00,744.10,2629.20,3917.20,52.08,0.00,744.10,796.18,-1885.10
NULL,NULL,1,75278,137868,NULL,NULL,NULL,NULL,89570,NULL,82.56,NULL,NULL,NULL,1727.20,NULL,NULL,34.54,NULL,NULL,NULL,-3886.88
2451623,73451,1,53251,834013,6775,19937,4,265,90067,79,73.10,105.99,93.27,0.00,7368.33,5774.90,8373.21,73.68,0.00,7368.33,7442.01,1593.43
2451558,63346,1,15442,265994,5793,6345,7,204,90194,99,96.58,140.04,95.22,0.00,9426.78,9561.42,13863.96,471.33,0.00,9426.78,9898.11,-134.64
2451145,62627,1,10368,1047196,4471,3746,10,241,90492,17,98.95,127.64,117.42,1676.75,1996.14,1682.15,2169.88,25.55,1676.75,319.39,344.94,-1362.76
NULL,42793,1,NULL,NULL,NULL,NULL,4,165,90496,78,87.97,NULL,77.21,NULL,NULL,6861.66,8988.72,NULL,NULL,3312.31,NULL,NULL
2452474,64220,1,88644,893350,1703,38856,4,152,91748,87,81.94,84.39,67.51,0.00,5873.37,7128.78,7341.93,234.93,0.00,5873.37,6108.30,-1255.41
2451360,62930,1,48834,1655622,2763,11551,8,294,91898,29,42.64,49.88,14.46,0.00,419.34,1236.56,1446.52,29.35,0.00,419.34,448.69,-817.22
2452546,61567,1,43334,1441786,5838,42290,10,131,92191,28,9.96,11.65,9.43,0.00,264.04,278.88,326.20,7.92,0.00,264.04,271.96,-14.84
2452157,60842,1,42201,1387713,1225,8384,10,47,95223,46,87.37,138.04,98.00,0.00,4508.00,4019.02,6349.84,360.64,0.00,4508.00,4868.64,488.98
2452100,68383,1,85412,197734,3303,29225,10,84,97018,7,69.10,83.61,8.36,0.00,58.52,483.70,585.27,0.00,0.00,58.52,58.52,-425.18
2451075,43553,1,61534,1182385,1636,18087,7,200,99975,32,29.94,36.22,33.32,138.61,1066.24,958.08,1159.04,0.00,138.61,927.63,927.63,-30.45
2452241,43289,1,702,378675,4295,17468,2,117,100647,4,18.38,23.15,19.44,0.00,77.76,73.52,92.60,2.33,0.00,77.76,80.09,4.24
2450979,38880,1,96606,258679,5199,21719,10,184,102563,95,22.59,29.36,17.32,0.00,1645.40,2146.05,2789.20,131.63,0.00,1645.40,1777.03,-500.65
2451510,61551,1,95006,900919,3632,17945,1,44,102704,92,59.54,75.61,33.26,0.00,3059.92,5477.68,6956.12,152.99,0.00,3059.92,3212.91,-2417.76
2452304,41731,1,91050,438369,3288,31854,4,158,102992,43,96.49,189.12,124.81,0.00,5366.83,4149.07,8132.16,375.67,0.00,5366.83,5742.50,1217.76
2451530,72307,1,8962,895632,2302,9772,7,30,103124,99,97.13,118.49,26.06,1031.97,2579.94,9615.87,11730.51,77.39,1031.97,1547.97,1625.36,-8067.90
2451123,56425,1,49291,242092,46,38447,2,190,103224,21,71.01,135.62,69.16,0.00,1452.36,1491.21,2848.02,29.04,0.00,1452.36,1481.40,-38.85
2451511,52534,1,37279,1084872,4465,36058,1,199,103486,82,52.19,98.63,28.60,0.00,2345.20,4279.58,8087.66,117.26,0.00,2345.20,2462.46,-1934.38
2451067,34071,1,21543,685640,3337,13387,10,277,103868,39,42.44,70.45,0.70,0.00,27.30,1655.16,2747.55,1.09,0.00,27.30,28.39,-1627.86
2451036,51882,1,84810,1861535,5107,21832,4,213,107506,34,56.91,113.25,100.79,2981.36,3426.86,1934.94,3850.50,35.64,2981.36,445.50,481.14,-1489.44
2451386,64434,1,42614,1568946,78,28410,10,47,107845,56,67.72,109.70,104.21,4376.82,5835.76,3792.32,6143.20,116.71,4376.82,1458.94,1575.65,-2333.38
2451680,34654,1,24063,1042233,6803,42173,8,70,108375,28,59.70,113.43,105.48,0.00,2953.44,1671.60,3176.04,29.53,0.00,2953.44,2982.97,1281.84
2452266,51884,1,95396,732462,5175,6241,4,145,109089,46,89.49,114.54,25.19,0.00,1158.74,4116.54,5268.84,92.69,0.00,1158.74,1251.43,-2957.80
2451157,65324,1,57578,1429910,195,36527,2,112,110078,32,54.10,78.44,78.44,0.00,2510.08,1731.20,2510.08,150.60,0.00,2510.08,2660.68,778.88
2451796,44035,1,16369,1255655,2941,3427,1,76,110115,17,27.06,34.36,28.51,0.00,484.67,460.02,584.12,43.62,0.00,484.67,528.29,24.65
2452389,49056,1,77949,250409,2516,31376,2,40,110843,27,27.57,43.00,5.59,0.00,150.93,744.39,1161.00,6.03,0.00,150.93,156.96,-593.46
2451443,57036,1,49229,67173,1564,47508,4,290,111591,88,67.47,114.69,108.95,0.00,9587.60,5937.36,10092.72,95.87,0.00,9587.60,9683.47,3650.24
2451124,37851,1,77912,1905579,7199,34866,10,258,113065,34,97.19,97.19,22.35,0.00,759.90,3304.46,3304.46,30.39,0.00,759.90,790.29,-2544.56
2451228,47586,1,66596,660100,4804,32308,7,139,113450,96,24.63,25.86,3.87,0.00,371.52,2364.48,2482.56,3.71,0.00,371.52,375.23,-1992.96
2451765,33083,1,2338,878150,1162,45021,4,52,113499,60,66.10,81.96,73.76,0.00,4425.60,3966.00,4917.60,309.79,0.00,4425.60,4735.39,459.60
2452229,44025,1,21071,628097,3123,40502,7,176,113916,56,53.45,62.53,6.87,0.00,384.72,2993.20,3501.68,34.62,0.00,384.72,419.34,-2608.48
2451427,60308,1,38152,928459,5519,20179,1,21,115185,10,76.69,118.10,96.84,0.00,968.40,766.90,1181.00,19.36,0.00,968.40,987.76,201.50
2452549,35754,1,8738,20586,2834,17882,7,55,115440,25,83.71,117.19,58.59,0.00,1464.75,2092.75,2929.75,14.64,0.00,1464.75,1479.39,-628.00
